"date_received","timestamp","value"
"2019-02-02T11:09:50.000Z","2019-02-02T12:09:45.424Z",55
"2019-02-02T12:13:55.000Z","2019-02-02T12:13:51.000Z",54
"2019-02-02T11:15:15.000Z","2019-02-02T12:15:10.874Z",55
"2019-02-02T12:19:21.000Z","2019-02-02T12:19:17.000Z",54
"2019-02-02T12:24:39.000Z","2019-02-02T12:24:35.000Z",54
"2019-02-02T11:25:59.000Z","2019-02-02T12:25:54.054Z",55
"2019-02-02T12:29:58.000Z","2019-02-02T12:29:53.000Z",54
"2019-02-02T11:31:16.000Z","2019-02-02T12:31:11.771Z",55
"2019-02-02T12:35:24.000Z","2019-02-02T12:35:19.000Z",54
"2019-02-02T12:46:17.000Z","2019-02-02T12:46:12.000Z",54
"2019-02-02T11:47:17.000Z","2019-02-02T12:47:13.195Z",54
"2019-02-02T11:52:43.000Z","2019-02-02T12:52:39.105Z",54
"2019-02-02T12:57:05.000Z","2019-02-02T12:57:00.000Z",53
"2019-02-02T11:58:01.000Z","2019-02-02T12:57:56.993Z",54
"2019-02-02T13:02:20.000Z","2019-02-02T13:02:15.000Z",53
"2019-02-02T12:03:19.000Z","2019-02-02T13:03:14.916Z",54
"2019-02-02T13:07:47.000Z","2019-02-02T13:07:42.000Z",53
"2019-02-02T13:13:13.000Z","2019-02-02T13:13:08.000Z",53
"2019-02-02T12:13:55.000Z","2019-02-02T13:13:50.974Z",54
"2019-02-02T13:18:32.000Z","2019-02-02T13:18:27.000Z",53
"2019-02-02T12:19:22.000Z","2019-02-02T13:19:17.142Z",54
"2019-02-02T13:23:51.000Z","2019-02-02T13:23:47.000Z",53
"2019-02-02T13:29:09.000Z","2019-02-02T13:29:04.000Z",53
"2019-02-02T12:29:58.000Z","2019-02-02T13:29:53.461Z",54
"2019-02-02T13:34:35.000Z","2019-02-02T13:34:31.000Z",53
"2019-02-02T12:35:24.000Z","2019-02-02T13:35:19.756Z",54
"2019-02-02T13:40:02.000Z","2019-02-02T13:39:57.000Z",53
"2019-02-02T13:45:20.000Z","2019-02-02T13:45:16.000Z",53
"2019-02-02T12:46:17.000Z","2019-02-02T13:46:12.544Z",54
"2019-02-02T13:50:47.000Z","2019-02-02T13:50:43.000Z",53
"2019-02-02T13:56:15.000Z","2019-02-02T13:56:10.000Z",53
"2019-02-02T12:57:06.000Z","2019-02-02T13:56:57.428Z",53
"2019-02-02T14:01:42.000Z","2019-02-02T14:01:37.000Z",53
"2019-02-02T13:02:20.000Z","2019-02-02T14:02:15.784Z",53
"2019-02-02T14:07:01.000Z","2019-02-02T14:06:56.000Z",53
"2019-02-02T14:12:34.000Z","2019-02-02T14:12:25.000Z",53
"2019-02-02T13:13:13.000Z","2019-02-02T14:13:08.781Z",53
"2019-02-02T14:17:37.000Z","2019-02-02T14:17:32.000Z",53
"2019-02-02T13:18:31.000Z","2019-02-02T14:18:27.266Z",53
"2019-02-02T14:23:03.000Z","2019-02-02T14:22:59.000Z",53
"2019-02-02T13:23:50.000Z","2019-02-02T14:23:45.781Z",53
"2019-02-02T13:29:09.000Z","2019-02-02T14:29:04.386Z",53
"2019-02-02T14:33:48.000Z","2019-02-02T14:33:43.000Z",53
"2019-02-02T13:34:35.000Z","2019-02-02T14:34:31.087Z",53
"2019-02-02T14:39:07.000Z","2019-02-02T14:39:01.000Z",53
"2019-02-02T14:44:32.000Z","2019-02-02T14:44:27.000Z",53
"2019-02-02T13:45:21.000Z","2019-02-02T14:45:16.579Z",53
"2019-02-02T14:49:59.000Z","2019-02-02T14:49:54.000Z",53
"2019-02-02T13:50:48.000Z","2019-02-02T14:50:43.455Z",53
"2019-02-02T14:55:24.000Z","2019-02-02T14:55:20.000Z",53
"2019-02-02T13:56:15.000Z","2019-02-02T14:56:10.403Z",53
"2019-02-02T15:00:43.000Z","2019-02-02T15:00:38.000Z",53
"2019-02-02T14:01:42.000Z","2019-02-02T15:01:37.350Z",53
"2019-02-02T15:06:01.000Z","2019-02-02T15:05:56.000Z",53
"2019-02-02T14:07:00.000Z","2019-02-02T15:06:56.059Z",53
"2019-02-02T15:11:19.000Z","2019-02-02T15:11:14.000Z",53
"2019-02-02T14:12:31.000Z","2019-02-02T15:12:14.603Z",53
"2019-02-02T15:16:36.000Z","2019-02-02T15:16:32.000Z",53
"2019-02-02T14:17:37.000Z","2019-02-02T15:17:32.867Z",53
"2019-02-02T15:21:58.000Z","2019-02-02T15:21:53.000Z",53
"2019-02-02T14:23:03.000Z","2019-02-02T15:22:59.097Z",53
"2019-02-02T15:27:14.000Z","2019-02-02T15:27:09.000Z",53
"2019-02-02T14:33:48.000Z","2019-02-02T15:33:43.410Z",53
"2019-02-02T15:37:55.000Z","2019-02-02T15:37:51.000Z",53
"2019-02-02T14:39:07.000Z","2019-02-02T15:39:01.533Z",53
"2019-02-02T15:43:28.000Z","2019-02-02T15:43:24.000Z",53
"2019-02-02T14:44:32.000Z","2019-02-02T15:44:27.761Z",53
"2019-02-02T15:48:47.000Z","2019-02-02T15:48:43.000Z",54
"2019-02-02T14:49:59.000Z","2019-02-02T15:49:54.002Z",53
"2019-02-02T15:54:05.000Z","2019-02-02T15:54:00.000Z",54
"2019-02-02T14:55:24.000Z","2019-02-02T15:55:20.227Z",53
"2019-02-02T15:59:23.000Z","2019-02-02T15:59:18.000Z",54
"2019-02-02T15:00:43.000Z","2019-02-02T16:00:38.335Z",53
"2019-02-02T16:04:49.000Z","2019-02-02T16:04:44.000Z",54
"2019-02-02T15:06:01.000Z","2019-02-02T16:05:56.264Z",53
"2019-02-02T16:10:14.000Z","2019-02-02T16:10:10.000Z",54
"2019-02-02T15:11:19.000Z","2019-02-02T16:11:14.277Z",53
"2019-02-02T16:15:32.000Z","2019-02-02T16:15:27.000Z",54
"2019-02-02T15:16:36.000Z","2019-02-02T16:16:32.154Z",53
"2019-02-02T16:20:58.000Z","2019-02-02T16:20:53.000Z",54
"2019-02-02T16:26:23.000Z","2019-02-02T16:26:19.000Z",54
"2019-02-02T15:27:15.000Z","2019-02-02T16:27:07.967Z",53
"2019-02-02T16:31:49.000Z","2019-02-02T16:31:44.000Z",54
"2019-02-02T16:37:16.000Z","2019-02-02T16:37:11.000Z",54
"2019-02-02T15:37:56.000Z","2019-02-02T16:37:51.093Z",53
"2019-02-02T16:42:40.000Z","2019-02-02T16:42:36.000Z",54
"2019-02-02T15:43:22.000Z","2019-02-02T16:43:17.689Z",53
"2019-02-02T16:48:07.000Z","2019-02-02T16:48:02.000Z",54
"2019-02-02T15:48:47.000Z","2019-02-02T16:48:43.128Z",54
"2019-02-02T16:53:33.000Z","2019-02-02T16:53:29.000Z",54
"2019-02-02T15:54:05.000Z","2019-02-02T16:54:00.768Z",54
"2019-02-02T16:58:45.000Z","2019-02-02T16:58:41.000Z",54
"2019-02-02T15:59:23.000Z","2019-02-02T16:59:18.508Z",54
"2019-02-02T17:04:11.000Z","2019-02-02T17:04:06.000Z",54
"2019-02-02T16:04:49.000Z","2019-02-02T17:04:44.316Z",54
"2019-02-02T17:09:36.000Z","2019-02-02T17:09:32.000Z",54
"2019-02-02T16:10:14.000Z","2019-02-02T17:10:10.105Z",54
