
"date_received","timestamp","value"
"2018-11-22T14:41:39.000Z","2018-11-22T14:40:32.000Z",499.5
"2018-11-22T14:52:55.000Z","2018-11-22T14:51:50.000Z",481.39
"2018-11-22T15:04:06.000Z","2018-11-22T15:03:00.000Z",481.5
"2018-11-22T15:15:18.000Z","2018-11-22T15:14:10.000Z",494
"2018-11-22T15:26:25.000Z","2018-11-22T15:25:20.000Z",497.6
"2018-11-22T15:37:34.000Z","2018-11-22T15:36:29.000Z",496.2
"2018-11-22T15:48:43.000Z","2018-11-22T15:47:38.000Z",496.39
"2018-11-22T15:59:52.000Z","2018-11-22T15:58:47.000Z",497.6
"2018-11-22T16:11:09.000Z","2018-11-22T16:10:04.000Z",500.29
"2018-11-22T16:22:26.000Z","2018-11-22T16:21:22.000Z",500.6
"2018-11-22T16:33:43.000Z","2018-11-22T16:32:31.000Z",500.2
"2018-11-22T16:44:53.000Z","2018-11-22T16:43:48.000Z",498.89
"2018-11-22T16:56:10.000Z","2018-11-22T16:55:05.000Z",496.39
"2018-11-22T17:18:36.000Z","2018-11-22T17:17:31.000Z",493.6
"2018-11-22T17:29:53.000Z","2018-11-22T17:28:48.000Z",492.79
"2018-11-22T17:52:35.000Z","2018-11-22T17:51:30.000Z",492.29
"2018-11-22T18:03:34.000Z","2018-11-22T18:02:29.000Z",492.7
"2018-11-22T18:14:52.000Z","2018-11-22T18:13:46.000Z",494.2
"2018-11-22T18:25:58.000Z","2018-11-22T18:24:53.000Z",493.5
"2018-11-22T18:37:14.000Z","2018-11-22T18:36:09.000Z",493.29
"2018-11-22T18:48:21.000Z","2018-11-22T18:47:17.000Z",493.79
"2018-11-22T18:59:29.000Z","2018-11-22T18:58:25.000Z",493.79
"2018-11-22T19:10:45.000Z","2018-11-22T19:09:41.000Z",494.2
"2018-11-22T19:21:52.000Z","2018-11-22T19:20:48.000Z",493.79
"2018-11-22T19:33:00.000Z","2018-11-22T19:31:55.000Z",494
"2018-11-22T19:44:16.000Z","2018-11-22T19:43:11.000Z",493.7
"2018-11-22T19:55:23.000Z","2018-11-22T19:54:19.000Z",494.2
"2018-11-22T20:06:39.000Z","2018-11-22T20:05:34.000Z",493.79
"2018-11-22T20:17:46.000Z","2018-11-22T20:16:42.000Z",494.1
"2018-11-22T20:28:53.000Z","2018-11-22T20:27:49.000Z",494.2
"2018-11-22T20:40:00.000Z","2018-11-22T20:38:56.000Z",494.29
"2018-11-22T20:51:07.000Z","2018-11-22T20:50:03.000Z",494.5
"2018-11-22T21:02:15.000Z","2018-11-22T21:01:10.000Z",494.7
"2018-11-22T21:13:30.000Z","2018-11-22T21:12:26.000Z",495.2
"2018-11-22T21:36:02.000Z","2018-11-22T21:34:58.000Z",495.29
"2018-11-22T21:47:18.000Z","2018-11-22T21:46:13.000Z",495.1
"2018-11-22T21:58:25.000Z","2018-11-22T21:57:21.000Z",495.1
"2018-11-22T22:09:41.000Z","2018-11-22T22:08:36.000Z",495.29
"2018-11-22T22:32:03.000Z","2018-11-22T22:30:59.000Z",495.29
"2018-11-22T22:43:19.000Z","2018-11-22T22:42:14.000Z",495.29
"2018-11-22T22:54:34.000Z","2018-11-22T22:53:30.000Z",496
"2018-11-22T23:05:41.000Z","2018-11-22T23:04:36.000Z",496.1
"2018-11-22T23:16:48.000Z","2018-11-22T23:15:43.000Z",496.29
"2018-11-22T23:27:54.000Z","2018-11-22T23:26:50.000Z",497.1
"2018-11-22T23:39:10.000Z","2018-11-22T23:38:05.000Z",497.2
"2018-11-22T23:50:17.000Z","2018-11-22T23:49:12.000Z",497.2
"2018-11-23T00:02:05.000Z","2018-11-23T00:01:01.000Z",497.6
"2018-11-23T00:13:03.000Z","2018-11-23T00:11:57.000Z",497.6
"2018-11-23T00:24:04.000Z","2018-11-23T00:22:58.000Z",498.39
"2018-11-23T00:35:18.000Z","2018-11-23T00:34:13.000Z",498.6
"2018-11-23T01:08:57.000Z","2018-11-23T01:07:50.000Z",499.5
"2018-11-23T01:20:03.000Z","2018-11-23T01:18:57.000Z",499.79
"2018-11-23T01:31:18.000Z","2018-11-23T01:30:12.000Z",500.1
"2018-11-23T01:42:23.000Z","2018-11-23T01:41:19.000Z",500.29
"2018-11-23T01:53:38.000Z","2018-11-23T01:52:34.000Z",500
"2018-11-23T02:04:45.000Z","2018-11-23T02:03:41.000Z",500.1
"2018-11-23T02:15:51.000Z","2018-11-23T02:14:47.000Z",499.7
"2018-11-23T02:26:58.000Z","2018-11-23T02:25:54.000Z",500.6
"2018-11-23T02:38:05.000Z","2018-11-23T02:37:00.000Z",500.39
"2018-11-23T02:49:12.000Z","2018-11-23T02:48:07.000Z",500.6
"2018-11-23T03:00:27.000Z","2018-11-23T02:59:22.000Z",500.5
"2018-11-23T03:11:34.000Z","2018-11-23T03:10:29.000Z",500.7
"2018-11-23T03:22:42.000Z","2018-11-23T03:21:35.000Z",499.7
"2018-11-23T03:33:56.000Z","2018-11-23T03:32:51.000Z",500.6
"2018-11-23T03:56:18.000Z","2018-11-23T03:55:14.000Z",500.5
"2018-11-23T04:18:42.000Z","2018-11-23T04:17:35.000Z",499.7
"2018-11-23T04:29:55.000Z","2018-11-23T04:28:50.000Z",499.7
"2018-11-23T04:41:10.000Z","2018-11-23T04:40:05.000Z",499.7
"2018-11-23T04:52:25.000Z","2018-11-23T04:51:20.000Z",499.6
"2018-11-23T05:03:32.000Z","2018-11-23T05:02:27.000Z",499.7
"2018-11-23T05:14:46.000Z","2018-11-23T05:13:42.000Z",499.6
"2018-11-23T05:26:01.000Z","2018-11-23T05:24:57.000Z",499.89
"2018-11-23T05:37:16.000Z","2018-11-23T05:36:12.000Z",500
"2018-11-23T05:48:23.000Z","2018-11-23T05:47:18.000Z",500
"2018-11-23T05:59:29.000Z","2018-11-23T05:58:25.000Z",500.29
"2018-11-23T06:10:45.000Z","2018-11-23T06:09:40.000Z",500.1
"2018-11-23T06:21:59.000Z","2018-11-23T06:20:55.000Z",500.5
"2018-11-23T06:33:35.000Z","2018-11-23T06:32:30.000Z",500.79
"2018-11-23T06:44:23.000Z","2018-11-23T06:43:19.000Z",500.7
"2018-11-23T06:55:19.000Z","2018-11-23T06:54:15.000Z",500.5
"2018-11-23T07:06:25.000Z","2018-11-23T07:05:21.000Z",500.6
"2018-11-23T07:17:41.000Z","2018-11-23T07:16:36.000Z",500.6
"2018-11-23T07:28:47.000Z","2018-11-23T07:27:43.000Z",501
"2018-11-23T07:39:54.000Z","2018-11-23T07:38:49.000Z",501
"2018-11-23T07:51:09.000Z","2018-11-23T07:50:05.000Z",501.29
"2018-11-23T08:02:25.000Z","2018-11-23T08:01:20.000Z",501.1
"2018-11-23T08:13:32.000Z","2018-11-23T08:12:27.000Z",501.39
"2018-11-23T08:24:39.000Z","2018-11-23T08:23:34.000Z",502
"2018-11-23T08:35:46.000Z","2018-11-23T08:34:41.000Z",504.89
"2018-11-23T08:47:03.000Z","2018-11-23T08:45:58.000Z",511.29
