
"date_received","timestamp","value"
"2018-11-22T13:37:09.000Z","2018-11-22T14:37:01.196Z",37.2
"2018-11-22T14:06:50.000Z","2018-11-22T15:06:45.488Z",35.41
"2018-11-22T14:26:39.000Z","2018-11-22T15:26:35.174Z",35.76
"2018-11-22T14:36:39.000Z","2018-11-22T15:36:29.637Z",35.89
"2018-11-22T14:46:28.000Z","2018-11-22T15:46:23.587Z",35.54
"2018-11-22T14:56:22.000Z","2018-11-22T15:56:17.912Z",35.23
"2018-11-22T15:16:14.000Z","2018-11-22T16:16:10.411Z",31.78
"2018-11-22T15:26:12.000Z","2018-11-22T16:26:08.561Z",31.22
"2018-11-22T15:46:10.000Z","2018-11-22T16:46:06.547Z",29.6
"2018-11-22T16:16:11.000Z","2018-11-22T17:16:07.627Z",27.68
"2018-11-22T16:26:13.000Z","2018-11-22T17:26:09.202Z",27.47
"2018-11-22T16:36:15.000Z","2018-11-22T17:36:11.245Z",26.89
"2018-11-22T17:06:24.000Z","2018-11-22T18:06:19.885Z",25.87
"2018-11-22T17:16:27.000Z","2018-11-22T18:16:23.451Z",25.29
"2018-11-22T17:26:31.000Z","2018-11-22T18:26:27.538Z",24.96
"2018-11-22T17:46:40.000Z","2018-11-22T18:46:36.357Z",24.33
"2018-11-22T17:56:46.000Z","2018-11-22T18:56:41.729Z",23.37
"2018-11-22T18:06:57.000Z","2018-11-22T19:06:47.860Z",22.86
"2018-11-22T18:16:58.000Z","2018-11-22T19:16:54.555Z",22.52
"2018-11-22T18:27:06.000Z","2018-11-22T19:27:01.675Z",22.12
"2018-11-22T18:37:13.000Z","2018-11-22T19:37:09.180Z",21.73
"2018-11-22T18:47:21.000Z","2018-11-22T19:47:16.998Z",21.53
"2018-11-22T18:57:29.000Z","2018-11-22T19:57:25.041Z",21.36
"2018-11-22T19:07:37.000Z","2018-11-22T20:07:33.267Z",21.14
"2018-11-22T19:17:45.000Z","2018-11-22T20:17:41.477Z",20.96
"2018-11-22T19:27:54.000Z","2018-11-22T20:27:50.001Z",20.84
"2018-11-22T19:48:11.000Z","2018-11-22T20:48:07.279Z",20.8
"2018-11-22T19:58:20.000Z","2018-11-22T20:58:15.694Z",20.62
"2018-11-23T08:38:14.000Z","2018-11-23T09:38:09.904Z",21.51
"2018-11-23T09:08:37.000Z","2018-11-23T10:08:32.710Z",23.3
"2018-11-23T09:18:43.000Z","2018-11-23T10:18:39.357Z",23.3
"2018-11-23T10:09:12.000Z","2018-11-23T11:09:02.390Z",26.44
"2018-11-23T10:19:10.000Z","2018-11-23T11:19:05.906Z",27.13
"2018-11-23T10:39:16.000Z","2018-11-23T11:39:12.073Z",27.1
"2018-11-23T10:59:22.000Z","2018-11-23T11:59:18.087Z",28.54
"2018-11-23T11:09:29.000Z","2018-11-23T12:09:20.127Z",28.86
"2018-11-23T12:19:24.000Z","2018-11-23T13:19:20.194Z",31.43
"2018-11-23T12:39:23.000Z","2018-11-23T13:39:19.183Z",32.68
"2018-11-23T12:59:44.000Z","2018-11-23T13:59:16.151Z",32.93
"2018-11-23T13:49:13.000Z","2018-11-23T14:49:08.595Z",33.7
"2018-11-23T13:59:09.000Z","2018-11-23T14:59:05.617Z",33.61
"2018-11-23T14:19:03.000Z","2018-11-23T15:18:59.287Z",31.61
"2018-11-23T14:29:01.000Z","2018-11-23T15:28:57.388Z",30.53
"2018-11-23T14:49:01.000Z","2018-11-23T15:48:56.797Z",28.88
"2018-11-23T14:59:02.000Z","2018-11-23T15:58:57.707Z",28.55
"2018-11-23T19:00:37.000Z","2018-11-23T20:00:33.573Z",21.9
"2018-11-23T19:31:01.000Z","2018-11-23T20:30:56.788Z",21.42
"2018-11-23T19:41:09.000Z","2018-11-23T20:41:04.874Z",21.23
"2018-11-23T20:01:25.000Z","2018-11-23T21:01:21.376Z",21.13
"2018-11-23T20:31:50.000Z","2018-11-23T21:31:46.590Z",21.25
"2018-11-24T00:35:17.000Z","2018-11-24T01:35:13.570Z",20.19
"2018-11-24T01:15:55.000Z","2018-11-24T02:15:50.767Z",20.14
"2018-11-24T01:46:23.000Z","2018-11-24T02:46:18.622Z",20.08
"2018-11-24T02:16:56.000Z","2018-11-24T03:16:47.007Z",20.06
"2018-11-24T02:27:00.000Z","2018-11-24T03:26:56.408Z",20.08
"2018-11-24T02:57:28.000Z","2018-11-24T03:57:24.399Z",20.33
"2018-11-24T03:17:47.000Z","2018-11-24T04:17:42.945Z",20.05
"2018-11-24T03:27:56.000Z","2018-11-24T04:27:52.346Z",19.95
"2018-11-24T03:38:06.000Z","2018-11-24T04:38:01.744Z",20.05
"2018-11-24T03:58:24.000Z","2018-11-24T04:58:20.463Z",20.08
"2018-11-24T09:44:42.000Z","2018-11-24T10:44:35.042Z",24.42
"2018-11-24T11:05:15.000Z","2018-11-24T12:05:11.404Z",26.73
"2018-11-24T11:35:22.000Z","2018-11-24T12:35:18.124Z",29.71
"2018-11-24T12:55:21.000Z","2018-11-24T13:55:16.837Z",31.76
"2018-11-24T13:35:18.000Z","2018-11-24T14:35:13.761Z",31.85
"2018-11-24T13:45:15.000Z","2018-11-24T14:45:11.621Z",34.44
"2018-11-24T13:55:18.000Z","2018-11-24T14:55:08.700Z",34.54
"2018-11-24T14:05:10.000Z","2018-11-24T15:05:05.819Z",32.89
"2018-11-24T14:15:07.000Z","2018-11-24T15:15:03.228Z",32.82
"2018-11-24T14:35:03.000Z","2018-11-24T15:34:58.819Z",31.93
"2018-11-24T14:54:59.000Z","2018-11-24T15:54:54.845Z",31.76
"2018-11-24T15:24:55.000Z","2018-11-24T16:24:50.710Z",30.66
"2018-11-24T16:04:51.000Z","2018-11-24T17:04:47.278Z",29.86
"2018-11-24T17:04:57.000Z","2018-11-24T18:04:52.804Z",25.78
"2018-11-24T17:25:05.000Z","2018-11-24T18:25:01.064Z",24.7
"2018-11-24T18:25:41.000Z","2018-11-24T19:25:37.253Z",21.98
"2018-11-24T19:06:13.000Z","2018-11-24T20:06:08.876Z",21.11
"2018-11-24T19:26:30.000Z","2018-11-24T20:26:25.732Z",20.94
"2018-11-24T19:56:55.000Z","2018-11-24T20:56:51.534Z",20.82
"2018-11-24T20:57:47.000Z","2018-11-24T21:57:43.322Z",20.58
"2018-11-24T21:18:05.000Z","2018-11-24T22:18:00.818Z",20.77
"2018-11-24T21:38:22.000Z","2018-11-24T22:38:17.997Z",20.86
"2018-11-24T21:58:40.000Z","2018-11-24T22:58:35.626Z",20.6
"2018-11-25T11:04:52.000Z","2018-11-25T12:04:48.349Z",33.35
"2018-11-25T12:04:38.000Z","2018-11-25T13:04:34.263Z",36.93
"2018-11-25T12:24:31.000Z","2018-11-25T13:24:27.006Z",36.65
"2018-11-25T13:44:02.000Z","2018-11-25T14:43:58.574Z",33.88
"2018-11-25T13:53:59.000Z","2018-11-25T14:53:55.367Z",33.66
"2018-11-25T14:04:00.000Z","2018-11-25T15:03:52.209Z",34.08
"2018-11-25T16:13:26.000Z","2018-11-25T17:13:21.699Z",31.23
"2018-11-25T17:33:23.000Z","2018-11-25T18:33:19.601Z",28.84
"2018-11-25T18:43:53.000Z","2018-11-25T19:43:49.307Z",23.81
"2018-11-25T19:04:05.000Z","2018-11-25T20:04:01.232Z",23.37
"2018-11-25T19:14:11.000Z","2018-11-25T20:14:07.424Z",23.17
"2018-11-25T19:54:38.000Z","2018-11-25T20:54:33.782Z",22.7
"2018-11-25T20:04:45.000Z","2018-11-25T21:04:40.798Z",22.41
"2018-11-25T20:14:52.000Z","2018-11-25T21:14:47.983Z",22.24
