
"date_received","timestamp","value"
"2018-11-22T13:37:11.000Z","2018-11-22T14:37:01.196Z",337.5
"2018-11-22T14:06:52.000Z","2018-11-22T15:06:45.488Z",45
"2018-11-22T14:26:41.000Z","2018-11-22T15:26:35.174Z",45
"2018-11-22T14:36:41.000Z","2018-11-22T15:36:29.637Z",225
"2018-11-22T14:46:36.000Z","2018-11-22T15:46:23.587Z",45
"2018-11-22T14:56:23.000Z","2018-11-22T15:56:17.912Z",45
"2018-11-22T15:16:16.000Z","2018-11-22T16:16:10.411Z",45
"2018-11-22T15:26:14.000Z","2018-11-22T16:26:08.561Z",45
"2018-11-22T15:46:12.000Z","2018-11-22T16:46:06.547Z",45
"2018-11-22T16:16:13.000Z","2018-11-22T17:16:07.627Z",45
"2018-11-22T16:26:15.000Z","2018-11-22T17:26:09.202Z",45
"2018-11-22T16:36:17.000Z","2018-11-22T17:36:11.245Z",45
"2018-11-22T17:06:25.000Z","2018-11-22T18:06:19.885Z",45
"2018-11-22T17:16:29.000Z","2018-11-22T18:16:23.451Z",45
"2018-11-22T17:26:33.000Z","2018-11-22T18:26:27.538Z",45
"2018-11-22T17:46:47.000Z","2018-11-22T18:46:36.357Z",45
"2018-11-22T17:56:47.000Z","2018-11-22T18:56:41.729Z",45
"2018-11-22T18:06:58.000Z","2018-11-22T19:06:47.860Z",45
"2018-11-22T18:17:00.000Z","2018-11-22T19:16:54.555Z",45
"2018-11-22T18:27:07.000Z","2018-11-22T19:27:01.675Z",45
"2018-11-22T18:37:15.000Z","2018-11-22T19:37:09.180Z",45
"2018-11-22T18:47:22.000Z","2018-11-22T19:47:16.998Z",45
"2018-11-22T18:57:31.000Z","2018-11-22T19:57:25.041Z",45
"2018-11-22T19:07:39.000Z","2018-11-22T20:07:33.267Z",45
"2018-11-22T19:17:47.000Z","2018-11-22T20:17:41.477Z",45
"2018-11-22T19:27:55.000Z","2018-11-22T20:27:50.001Z",45
"2018-11-22T19:48:13.000Z","2018-11-22T20:48:07.279Z",45
"2018-11-22T19:58:21.000Z","2018-11-22T20:58:15.694Z",45
"2018-11-23T08:38:16.000Z","2018-11-23T09:38:09.904Z",337.5
"2018-11-23T09:08:39.000Z","2018-11-23T10:08:32.710Z",337.5
"2018-11-23T09:18:45.000Z","2018-11-23T10:18:39.357Z",337.5
"2018-11-23T10:09:14.000Z","2018-11-23T11:09:02.390Z",337.5
"2018-11-23T10:19:17.000Z","2018-11-23T11:19:05.906Z",337.5
"2018-11-23T10:39:18.000Z","2018-11-23T11:39:12.073Z",337.5
"2018-11-23T10:59:24.000Z","2018-11-23T11:59:18.087Z",337.5
"2018-11-23T11:09:41.000Z","2018-11-23T12:09:20.127Z",337.5
"2018-11-23T12:19:26.000Z","2018-11-23T13:19:20.194Z",337.5
"2018-11-23T12:39:30.000Z","2018-11-23T13:39:19.183Z",337.5
"2018-11-23T12:59:45.000Z","2018-11-23T13:59:16.151Z",337.5
"2018-11-23T13:49:14.000Z","2018-11-23T14:49:08.595Z",337.5
"2018-11-23T13:59:11.000Z","2018-11-23T14:59:05.617Z",337.5
"2018-11-23T14:19:05.000Z","2018-11-23T15:18:59.287Z",337.5
"2018-11-23T14:29:03.000Z","2018-11-23T15:28:57.388Z",45
"2018-11-23T14:49:02.000Z","2018-11-23T15:48:56.797Z",247.5
"2018-11-23T14:59:03.000Z","2018-11-23T15:58:57.707Z",45
"2018-11-23T19:00:39.000Z","2018-11-23T20:00:33.573Z",247.5
"2018-11-23T19:31:02.000Z","2018-11-23T20:30:56.788Z",45
"2018-11-23T19:41:10.000Z","2018-11-23T20:41:04.874Z",45
"2018-11-23T20:01:27.000Z","2018-11-23T21:01:21.376Z",45
"2018-11-23T20:31:52.000Z","2018-11-23T21:31:46.590Z",337.5
"2018-11-24T00:35:19.000Z","2018-11-24T01:35:13.570Z",45
"2018-11-24T01:15:56.000Z","2018-11-24T02:15:50.767Z",45
"2018-11-24T01:46:24.000Z","2018-11-24T02:46:18.622Z",45
"2018-11-24T02:16:57.000Z","2018-11-24T03:16:47.007Z",45
"2018-11-24T02:27:02.000Z","2018-11-24T03:26:56.408Z",45
"2018-11-24T02:57:30.000Z","2018-11-24T03:57:24.399Z",45
"2018-11-24T03:17:48.000Z","2018-11-24T04:17:42.945Z",45
"2018-11-24T03:27:58.000Z","2018-11-24T04:27:52.346Z",45
"2018-11-24T03:38:07.000Z","2018-11-24T04:38:01.744Z",45
"2018-11-24T03:58:26.000Z","2018-11-24T04:58:20.463Z",225
"2018-11-24T09:44:45.000Z","2018-11-24T10:44:35.042Z","0.00"
"2018-11-24T11:05:17.000Z","2018-11-24T12:05:11.404Z","0.00"
"2018-11-24T11:35:24.000Z","2018-11-24T12:35:18.124Z",225
"2018-11-24T12:55:22.000Z","2018-11-24T13:55:16.837Z",225
"2018-11-24T13:35:19.000Z","2018-11-24T14:35:13.761Z",315
"2018-11-24T13:45:17.000Z","2018-11-24T14:45:11.621Z",315
"2018-11-24T13:55:19.000Z","2018-11-24T14:55:08.700Z",225
"2018-11-24T14:05:11.000Z","2018-11-24T15:05:05.819Z",225
"2018-11-24T14:15:09.000Z","2018-11-24T15:15:03.228Z",225
"2018-11-24T14:35:04.000Z","2018-11-24T15:34:58.819Z",225
"2018-11-24T14:55:00.000Z","2018-11-24T15:54:54.845Z",225
"2018-11-24T15:24:56.000Z","2018-11-24T16:24:50.710Z",225
"2018-11-24T16:04:53.000Z","2018-11-24T17:04:47.278Z",225
"2018-11-24T17:04:58.000Z","2018-11-24T18:04:52.804Z",45
"2018-11-24T17:25:07.000Z","2018-11-24T18:25:01.064Z",22.5
"2018-11-24T18:25:43.000Z","2018-11-24T19:25:37.253Z",22.5
"2018-11-24T19:06:20.000Z","2018-11-24T20:06:08.876Z",22.5
"2018-11-24T19:26:31.000Z","2018-11-24T20:26:25.732Z",22.5
"2018-11-24T19:56:57.000Z","2018-11-24T20:56:51.534Z",22.5
