
"date_received","timestamp","value"
"2018-11-22T13:37:13.000Z","2018-11-22T14:37:01.196Z",24.24
"2018-11-22T14:06:54.000Z","2018-11-22T15:06:45.488Z",28.24
"2018-11-22T14:26:42.000Z","2018-11-22T15:26:35.174Z",18.6
"2018-11-22T14:36:44.000Z","2018-11-22T15:36:29.637Z",61.54
"2018-11-22T14:46:37.000Z","2018-11-22T15:46:23.587Z",53.33
"2018-11-22T14:56:24.000Z","2018-11-22T15:56:17.912Z",44.44
"2018-11-22T15:16:17.000Z","2018-11-22T16:16:10.411Z",48
"2018-11-22T15:26:15.000Z","2018-11-22T16:26:08.561Z",63.16
"2018-11-22T15:46:13.000Z","2018-11-22T16:46:06.547Z",66.67
"2018-11-22T16:16:14.000Z","2018-11-22T17:16:07.627Z",75
"2018-11-22T16:26:16.000Z","2018-11-22T17:26:09.202Z",92.31
"2018-11-22T16:36:18.000Z","2018-11-22T17:36:11.245Z",88.89
"2018-11-22T17:06:26.000Z","2018-11-22T18:06:19.885Z",68.57
"2018-11-22T17:16:30.000Z","2018-11-22T18:16:23.451Z",51.06
"2018-11-22T17:26:34.000Z","2018-11-22T18:26:27.538Z",72.73
"2018-11-22T17:46:48.000Z","2018-11-22T18:46:36.357Z",27.59
"2018-11-22T17:56:48.000Z","2018-11-22T18:56:41.729Z",28.57
"2018-11-22T18:06:59.000Z","2018-11-22T19:06:47.860Z",55.81
"2018-11-22T18:17:01.000Z","2018-11-22T19:16:54.555Z",40
"2018-11-22T18:27:09.000Z","2018-11-22T19:27:01.675Z",61.54
"2018-11-22T18:37:16.000Z","2018-11-22T19:37:09.180Z",58.54
"2018-11-22T18:47:23.000Z","2018-11-22T19:47:16.998Z",57.14
"2018-11-22T18:57:32.000Z","2018-11-22T19:57:25.041Z",82.76
"2018-11-22T19:07:40.000Z","2018-11-22T20:07:33.267Z",55.81
"2018-11-22T19:17:48.000Z","2018-11-22T20:17:41.477Z",44.44
"2018-11-22T19:27:56.000Z","2018-11-22T20:27:50.001Z",57.14
"2018-11-22T19:48:14.000Z","2018-11-22T20:48:07.279Z",57.14
"2018-11-22T19:58:22.000Z","2018-11-22T20:58:15.694Z",53.33
"2018-11-23T08:38:17.000Z","2018-11-23T09:38:09.904Z",60
"2018-11-23T09:08:40.000Z","2018-11-23T10:08:32.710Z",64.86
"2018-11-23T09:18:46.000Z","2018-11-23T10:18:39.357Z",57.14
"2018-11-23T10:09:15.000Z","2018-11-23T11:09:02.390Z",75
"2018-11-23T10:19:18.000Z","2018-11-23T11:19:05.906Z",80
"2018-11-23T10:39:19.000Z","2018-11-23T11:39:12.073Z",68.57
"2018-11-23T10:59:25.000Z","2018-11-23T11:59:18.087Z",92.31
"2018-11-23T11:09:47.000Z","2018-11-23T12:09:20.127Z",104.35
"2018-11-23T12:19:27.000Z","2018-11-23T13:19:20.194Z",47.06
"2018-11-23T12:39:31.000Z","2018-11-23T13:39:19.183Z",53.33
"2018-11-23T12:59:47.000Z","2018-11-23T13:59:16.151Z",23.08
"2018-11-23T13:49:15.000Z","2018-11-23T14:49:08.595Z",66.67
"2018-11-23T13:59:12.000Z","2018-11-23T14:59:05.617Z",42.11
"2018-11-23T14:19:06.000Z","2018-11-23T15:18:59.287Z",66.67
"2018-11-23T14:29:04.000Z","2018-11-23T15:28:57.388Z",72.73
"2018-11-23T14:49:03.000Z","2018-11-23T15:48:56.797Z",80
"2018-11-23T14:59:04.000Z","2018-11-23T15:58:57.707Z",66.67
"2018-11-23T19:00:40.000Z","2018-11-23T20:00:33.573Z",53.33
"2018-11-23T19:31:03.000Z","2018-11-23T20:30:56.788Z",39.34
"2018-11-23T19:41:16.000Z","2018-11-23T20:41:04.874Z",44.44
