
"date_received","timestamp","value"
"2018-07-16T19:39:52.000Z","2018-07-16T19:39:51.000Z","65.0"
"2018-07-16T19:40:19.000Z","2018-07-16T19:40:18.000Z","67.0"
"2018-08-17T13:17:33.000Z","2018-08-17T13:17:31.000Z","59.0"
"2018-08-22T16:51:04.000Z","2018-08-22T16:51:02.000Z","62.0"
"2018-09-02T01:05:35.000Z","2018-09-01T21:15:22.000Z","50.0"
"2018-09-02T01:06:06.000Z","2018-09-01T21:15:57.000Z","49.0"
"2018-09-02T01:06:32.000Z","2018-09-01T21:16:23.000Z","49.0"
"2018-09-02T01:06:59.000Z","2018-09-01T21:16:50.000Z","49.0"
"2018-09-02T01:07:52.000Z","2018-09-01T21:17:38.000Z","49.0"
"2018-09-02T01:08:18.000Z","2018-09-01T21:18:09.000Z","49.0"
"2018-09-02T01:08:55.000Z","2018-09-01T21:18:46.000Z","49.0"
"2018-09-02T01:09:26.000Z","2018-09-01T21:19:12.000Z","49.0"
"2018-09-02T01:09:51.000Z","2018-09-01T21:19:42.000Z","49.0"
"2018-09-02T01:10:25.000Z","2018-09-01T21:20:15.000Z","49.0"
"2018-09-02T01:10:59.000Z","2018-09-01T21:20:50.000Z","49.0"
"2018-09-02T01:11:24.000Z","2018-09-01T21:21:15.000Z","49.0"
"2018-09-02T01:11:50.000Z","2018-09-01T21:21:41.000Z","49.0"
"2018-09-02T01:12:12.000Z","2018-09-01T21:22:05.000Z","49.0"
"2018-09-02T01:12:36.000Z","2018-09-01T21:22:24.000Z","49.0"
"2018-09-02T01:13:09.000Z","2018-09-01T21:23:00.000Z","49.0"
"2018-09-02T01:14:01.000Z","2018-09-01T21:23:48.000Z","48.0"
"2018-09-02T01:14:34.000Z","2018-09-01T21:24:25.000Z","48.0"
"2018-09-02T01:15:08.000Z","2018-09-01T21:24:56.000Z","48.0"
"2018-09-02T07:41:25.000Z","2018-09-02T03:51:18.000Z","49.0"
"2018-09-03T03:22:00.000Z","2018-09-02T22:40:56.000Z","50.0"
"2018-09-06T03:14:56.000Z","2018-09-06T02:54:05.000Z","51.0"
"2018-09-06T03:27:27.000Z","2018-09-06T03:06:36.000Z","51.0"
"2018-09-06T03:35:41.000Z","2018-09-06T03:14:50.000Z","51.0"
"2018-09-06T09:58:33.000Z","2018-09-06T09:37:42.000Z","47.0"
"2018-09-06T10:07:22.000Z","2018-09-06T09:46:31.000Z","47.0"
"2018-09-06T10:08:53.000Z","2018-09-06T09:48:02.000Z","47.0"
"2018-09-06T10:13:09.000Z","2018-09-06T09:52:18.000Z","47.0"
"2018-09-06T10:18:18.000Z","2018-09-06T09:57:27.000Z","47.0"
"2018-09-06T10:19:49.000Z","2018-09-06T09:58:58.000Z","47.0"
"2018-09-06T10:21:20.000Z","2018-09-06T10:00:29.000Z","47.0"
"2018-09-06T10:22:51.000Z","2018-09-06T10:02:00.000Z","47.0"
"2018-09-06T10:24:22.000Z","2018-09-06T10:03:31.000Z","47.0"
"2018-09-06T10:25:17.000Z","2018-09-06T10:04:26.000Z","47.0"
"2018-09-06T10:26:48.000Z","2018-09-06T10:05:57.000Z","47.0"
"2018-09-06T10:28:19.000Z","2018-09-06T10:07:28.000Z","47.0"
"2018-09-06T10:29:50.000Z","2018-09-06T10:08:59.000Z","47.0"
"2018-09-06T10:41:05.000Z","2018-09-06T10:20:14.000Z","47.0"
"2018-09-06T10:43:31.000Z","2018-09-06T10:22:40.000Z","47.0"
"2018-09-06T10:46:33.000Z","2018-09-06T10:25:42.000Z","47.0"
"2018-09-06T10:47:28.000Z","2018-09-06T10:26:36.000Z","47.0"
"2018-09-06T10:51:25.000Z","2018-09-06T10:30:34.000Z","47.0"
"2018-09-06T11:05:42.000Z","2018-09-06T10:44:51.000Z","47.0"
"2018-09-06T11:14:13.000Z","2018-09-06T10:53:22.000Z","47.0"
"2018-09-06T11:18:28.000Z","2018-09-06T10:57:37.000Z","46.0"
"2018-09-06T11:22:07.000Z","2018-09-06T11:01:16.000Z","46.0"
"2018-09-06T11:29:06.000Z","2018-09-06T11:08:15.000Z","46.0"
"2018-09-06T11:31:32.000Z","2018-09-06T11:10:41.000Z","46.0"
"2018-09-06T11:36:05.000Z","2018-09-06T11:15:14.000Z","46.0"
"2018-09-06T11:47:01.000Z","2018-09-06T11:26:10.000Z","46.0"
"2018-09-06T11:48:32.000Z","2018-09-06T11:27:41.000Z","46.0"
"2018-09-06T12:15:18.000Z","2018-09-06T11:54:27.000Z","46.0"
"2018-09-06T12:16:13.000Z","2018-09-06T11:55:22.000Z","46.0"
"2018-09-06T12:17:08.000Z","2018-09-06T11:56:17.000Z","46.0"
"2018-09-06T12:24:27.000Z","2018-09-06T12:03:36.000Z","46.0"
"2018-09-06T12:25:22.000Z","2018-09-06T12:04:31.000Z","46.0"
"2018-09-06T12:27:48.000Z","2018-09-06T12:06:57.000Z","46.0"
"2018-09-06T12:34:12.000Z","2018-09-06T12:13:21.000Z","46.0"
"2018-09-06T13:05:16.000Z","2018-09-06T12:44:25.000Z","45.0"
"2018-09-06T13:11:22.000Z","2018-09-06T12:50:31.000Z","45.0"
"2018-09-06T13:12:53.000Z","2018-09-06T12:52:02.000Z","45.0"
"2018-09-06T13:15:01.000Z","2018-09-06T12:54:10.000Z","45.0"
"2018-09-06T13:15:56.000Z","2018-09-06T12:55:05.000Z","45.0"
"2018-09-06T13:17:27.000Z","2018-09-06T12:56:36.000Z","45.0"
"2018-09-06T13:39:58.000Z","2018-09-06T13:19:07.000Z","45.0"
"2018-09-06T13:45:45.000Z","2018-09-06T13:24:54.000Z","45.0"
"2018-09-06T13:46:40.000Z","2018-09-06T13:25:49.000Z","45.0"
"2018-09-06T13:48:30.000Z","2018-09-06T13:27:39.000Z","45.0"
"2018-09-06T13:50:01.000Z","2018-09-06T13:29:10.000Z","45.0"
"2018-09-06T13:52:28.000Z","2018-09-06T13:31:37.000Z","45.0"
"2018-09-06T13:55:32.000Z","2018-09-06T13:34:41.000Z","45.0"
"2018-09-06T13:57:03.000Z","2018-09-06T13:36:12.000Z","45.0"
"2018-09-06T14:03:26.000Z","2018-09-06T13:42:35.000Z","44.0"
"2018-09-06T14:19:16.000Z","2018-09-06T13:58:25.000Z","44.0"
"2018-09-06T14:21:42.000Z","2018-09-06T14:00:51.000Z","44.0"
"2018-09-06T14:22:37.000Z","2018-09-06T14:01:46.000Z","44.0"
"2018-09-06T14:55:11.000Z","2018-09-06T14:34:20.000Z","43.0"
"2018-09-06T14:56:42.000Z","2018-09-06T14:35:51.000Z","43.0"
"2018-09-06T14:59:08.000Z","2018-09-06T14:38:17.000Z","43.0"
"2018-09-06T15:05:32.000Z","2018-09-06T14:44:41.000Z","43.0"
"2018-09-06T15:23:27.000Z","2018-09-06T15:02:36.000Z","43.0"
"2018-09-06T15:24:58.000Z","2018-09-06T15:04:07.000Z","43.0"
"2018-09-06T15:26:29.000Z","2018-09-06T15:05:38.000Z","43.0"
"2018-09-06T15:27:24.000Z","2018-09-06T15:06:33.000Z","43.0"
"2018-09-06T15:28:55.000Z","2018-09-06T15:08:04.000Z","43.0"
"2018-09-06T15:30:26.000Z","2018-09-06T15:09:35.000Z","43.0"
"2018-09-06T15:31:57.000Z","2018-09-06T15:11:06.000Z","43.0"
"2018-09-06T15:32:52.000Z","2018-09-06T15:12:01.000Z","43.0"
"2018-09-06T15:34:23.000Z","2018-09-06T15:13:32.000Z","43.0"
"2018-09-06T15:42:35.000Z","2018-09-06T15:21:44.000Z","42.0"
"2018-09-06T15:50:47.000Z","2018-09-06T15:29:56.000Z","42.0"
"2018-09-06T15:52:19.000Z","2018-09-06T15:31:28.000Z","42.0"
"2018-09-06T15:55:22.000Z","2018-09-06T15:34:31.000Z","42.0"
"2018-09-06T15:56:53.000Z","2018-09-06T15:36:02.000Z","42.0"
"2018-09-06T15:57:30.000Z","2018-09-06T15:36:39.000Z","42.0"
"2018-09-06T16:07:52.000Z","2018-09-06T15:47:01.000Z","42.0"
"2018-09-06T16:09:23.000Z","2018-09-06T15:48:32.000Z","42.0"
"2018-09-06T16:10:54.000Z","2018-09-06T15:50:03.000Z","42.0"
"2018-09-06T16:19:06.000Z","2018-09-06T15:58:15.000Z","42.0"
"2018-09-06T16:21:50.000Z","2018-09-06T16:00:59.000Z","42.0"
"2018-09-06T16:24:34.000Z","2018-09-06T16:03:43.000Z","42.0"
"2018-09-06T16:38:51.000Z","2018-09-06T16:18:00.000Z","41.0"
"2018-09-06T16:40:22.000Z","2018-09-06T16:19:31.000Z","41.0"
"2018-09-06T16:43:43.000Z","2018-09-06T16:22:52.000Z","41.0"
"2018-09-06T16:45:14.000Z","2018-09-06T16:24:23.000Z","41.0"
"2018-09-06T16:46:45.000Z","2018-09-06T16:25:54.000Z","41.0"
"2018-09-06T16:48:16.000Z","2018-09-06T16:27:25.000Z","41.0"
"2018-09-06T16:49:47.000Z","2018-09-06T16:28:56.000Z","41.0"
"2018-09-06T16:52:13.000Z","2018-09-06T16:31:22.000Z","41.0"
"2018-09-06T16:53:44.000Z","2018-09-06T16:32:53.000Z","41.0"
"2018-09-10T18:33:39.000Z","2018-09-10T18:33:36.000Z","99.0"
"2018-09-10T18:33:53.000Z","2018-09-10T18:33:50.000Z","99.0"
"2018-09-10T18:35:29.000Z","2018-09-10T18:35:25.000Z","99.0"
"2018-09-10T18:39:13.000Z","2018-09-10T18:39:10.000Z","86.0"
"2018-09-10T18:51:13.000Z","2018-09-10T18:51:10.000Z","19.0"
"2018-09-10T18:51:49.000Z","2018-09-10T18:51:46.000Z","18.0"
