
"date_received","timestamp","value"
"2018-05-14T15:49:33.000Z","2018-05-14T17:49:28.898Z","5.05"
"2018-05-14T16:10:07.000Z","2018-05-14T18:10:03.952Z","5.06"
"2018-05-14T16:30:43.000Z","2018-05-14T18:30:39.043Z","5.05"
"2018-05-14T17:32:20.000Z","2018-05-14T19:32:16.433Z","4.92"
"2018-05-14T17:52:49.000Z","2018-05-14T19:52:46.189Z","4.90"
"2018-05-17T14:44:35.000Z","2018-05-17T16:44:31.692Z","6.93"
"2018-05-21T12:00:04.000Z","2018-05-21T14:00:00.345Z","7.12"
"2018-05-21T19:10:02.000Z","2018-05-21T21:09:57.846Z","7.17"
"2018-09-20T14:50:15.000Z","2018-09-20T16:50:10.567Z","5.07"
"2018-09-20T15:08:53.000Z","2018-09-20T17:08:48.803Z","5.15"
"2018-09-20T15:09:31.000Z","2018-09-20T17:09:26.066Z","5.16"
"2018-09-20T15:12:15.000Z","2018-09-20T17:12:09.667Z","5.20"
"2018-09-20T15:12:51.000Z","2018-09-20T17:12:46.930Z","5.21"
"2018-09-20T15:14:06.000Z","2018-09-20T17:14:01.438Z","5.18"
"2018-09-20T15:19:01.000Z","2018-09-20T17:18:55.725Z","5.59"
"2018-09-20T15:27:08.000Z","2018-09-20T17:27:02.675Z","5.68"
"2018-09-20T15:32:07.000Z","2018-09-20T17:32:02.063Z","5.72"
"2018-09-20T15:36:25.000Z","2018-09-20T17:36:20.008Z","5.73"
"2018-09-20T15:37:02.000Z","2018-09-20T17:36:57.163Z","5.71"
"2018-09-20T15:37:39.000Z","2018-09-20T17:37:34.315Z","5.70"
"2018-09-20T15:38:16.000Z","2018-09-20T17:38:11.465Z","5.69"
"2018-09-20T15:38:53.000Z","2018-09-20T17:38:48.614Z","5.67"
"2018-09-26T12:03:15.000Z","2018-09-26T14:03:10.742Z","5.87"
"2018-09-26T13:37:12.000Z","2018-09-26T15:37:07.988Z","6.09"
"2018-09-26T13:37:58.000Z","2018-09-26T15:37:54.147Z","6.09"
"2018-09-26T13:39:58.000Z","2018-09-26T15:39:54.229Z","6.02"
"2018-09-26T13:40:44.000Z","2018-09-26T15:40:40.189Z","6.02"
"2018-09-26T13:41:30.000Z","2018-09-26T15:41:26.145Z","6.00"
"2018-09-26T13:42:16.000Z","2018-09-26T15:42:12.102Z","5.99"
"2018-09-26T13:43:02.000Z","2018-09-26T15:42:58.058Z","6.01"
"2018-09-26T13:43:48.000Z","2018-09-26T15:43:44.017Z","6.00"
