
"date_received","timestamp","value"
"2018-05-14T15:49:34.000Z","2018-05-14T17:49:28.898Z","27.34"
"2018-05-14T16:10:08.000Z","2018-05-14T18:10:03.952Z","26.35"
"2018-05-14T16:30:44.000Z","2018-05-14T18:30:39.043Z","26.01"
"2018-05-14T17:32:21.000Z","2018-05-14T19:32:16.433Z","27.12"
"2018-05-14T17:52:50.000Z","2018-05-14T19:52:46.189Z","27.10"
"2018-05-17T14:44:36.000Z","2018-05-17T16:44:31.692Z","33.84"
"2018-05-21T12:00:05.000Z","2018-05-21T14:00:00.345Z","46.54"
"2018-05-21T19:10:03.000Z","2018-05-21T21:09:57.846Z","56.57"
"2018-06-09T13:23:55.000Z","2018-06-09T15:23:50.757Z","39.48"
"2018-06-09T13:44:08.000Z","2018-06-09T15:44:03.854Z","35.50"
"2018-06-09T14:04:44.000Z","2018-06-09T16:04:39.600Z","41.65"
"2018-06-09T14:25:24.000Z","2018-06-09T16:25:14.302Z","44.19"
"2018-06-09T14:31:32.000Z","2018-06-09T16:31:28.129Z","41.61"
"2018-06-09T14:32:24.000Z","2018-06-09T16:32:19.829Z","41.84"
"2018-06-09T14:37:41.000Z","2018-06-09T16:37:36.406Z","41.17"
"2018-06-09T14:58:17.000Z","2018-06-09T16:58:11.996Z","39.03"
"2018-06-09T15:18:52.000Z","2018-06-09T17:18:48.369Z","37.23"
"2018-06-09T15:39:28.000Z","2018-06-09T17:39:23.585Z","39.88"
"2018-06-09T16:00:01.000Z","2018-06-09T17:59:56.322Z","48.18"
"2018-06-09T16:20:31.000Z","2018-06-09T18:20:26.973Z","51.95"
"2018-06-09T16:41:01.000Z","2018-06-09T18:40:56.914Z","53.85"
"2018-06-09T17:01:31.000Z","2018-06-09T19:01:26.439Z","54.80"
"2018-06-09T17:22:00.000Z","2018-06-09T19:21:55.608Z","55.15"
"2018-06-09T17:42:28.000Z","2018-06-09T19:42:24.426Z","56.02"
"2018-06-09T18:02:57.000Z","2018-06-09T20:02:52.763Z","56.80"
"2018-06-09T18:23:24.000Z","2018-06-09T20:23:20.507Z","58.22"
"2018-06-09T18:43:52.000Z","2018-06-09T20:43:47.628Z","58.84"
"2018-06-09T19:04:18.000Z","2018-06-09T21:04:13.958Z","59.40"
"2018-06-09T19:24:43.000Z","2018-06-09T21:24:39.228Z","60.26"
"2018-06-09T19:45:07.000Z","2018-06-09T21:45:03.299Z","61.29"
"2018-06-26T12:07:26.000Z","2018-06-26T14:07:19.854Z","45.99"
"2018-06-26T12:09:23.000Z","2018-06-26T14:09:17.570Z","49.26"
"2018-06-26T12:11:34.000Z","2018-06-26T14:11:28.806Z","46.85"
"2018-06-26T12:36:58.000Z","2018-06-26T14:36:54.166Z","35.11"
"2018-06-26T12:37:52.000Z","2018-06-26T14:37:48.246Z","32.21"
"2018-06-26T12:38:40.000Z","2018-06-26T14:38:35.293Z","31.43"
"2018-06-26T12:40:22.000Z","2018-06-26T14:40:16.723Z","36.24"
"2018-06-26T12:42:01.000Z","2018-06-26T14:41:57.398Z","38.25"
"2018-06-26T12:43:34.000Z","2018-06-26T14:43:29.980Z","35.85"
"2018-06-26T12:45:07.000Z","2018-06-26T14:45:02.520Z","38.41"
"2018-06-26T12:46:39.000Z","2018-06-26T14:46:35.077Z","39.01"
"2018-06-26T12:48:12.000Z","2018-06-26T14:48:07.663Z","34.73"
"2018-06-26T12:49:45.000Z","2018-06-26T14:49:40.435Z","32.86"
"2018-06-26T12:51:18.000Z","2018-06-26T14:51:13.285Z","30.61"
"2018-06-26T12:52:50.000Z","2018-06-26T14:52:46.040Z","26.84"
"2018-06-26T12:54:23.000Z","2018-06-26T14:54:18.803Z","26.21"
"2018-06-26T12:55:52.000Z","2018-06-26T14:55:48.259Z","26.75"
"2018-06-26T12:57:24.000Z","2018-06-26T14:57:20.557Z","24.92"
"2018-06-26T12:59:01.000Z","2018-06-26T14:58:53.058Z","19.28"
"2018-06-26T13:00:30.000Z","2018-06-26T15:00:25.703Z","16.96"
"2018-06-26T13:02:03.000Z","2018-06-26T15:01:58.409Z","11.74"
"2018-06-26T13:03:35.000Z","2018-06-26T15:03:31.035Z","14.80"
"2018-06-26T13:05:08.000Z","2018-06-26T15:05:03.582Z","18.08"
"2018-06-26T13:08:13.000Z","2018-06-26T15:08:08.853Z","16.76"
"2018-06-26T13:09:46.000Z","2018-06-26T15:09:41.608Z","14.25"
"2018-06-26T13:11:19.000Z","2018-06-26T15:11:14.420Z","14.22"
"2018-06-26T13:12:51.000Z","2018-06-26T15:12:47.193Z","14.29"
"2018-06-26T13:14:24.000Z","2018-06-26T15:14:19.797Z","20.52"
"2018-06-26T13:15:28.000Z","2018-06-26T15:15:25.326Z","13.89"
"2018-06-26T13:17:03.000Z","2018-06-26T15:16:58.375Z","17.80"
"2018-06-26T13:18:35.000Z","2018-06-26T15:18:31.332Z","23.62"
"2018-06-26T13:20:14.000Z","2018-06-26T15:20:10.125Z","22.16"
"2018-06-26T13:21:18.000Z","2018-06-26T15:21:14.082Z","22.31"
"2018-06-26T13:23:04.000Z","2018-06-26T15:22:59.331Z","26.70"
"2018-08-10T12:19:29.000Z","2018-08-10T14:19:18.676Z","58.89"
"2018-08-10T12:19:50.000Z","2018-08-10T14:19:43.790Z","56.83"
"2018-08-10T12:20:11.000Z","2018-08-10T14:20:06.640Z","58.63"
"2018-08-10T12:21:07.000Z","2018-08-10T14:20:57.980Z","58.15"
"2018-08-10T12:42:27.000Z","2018-08-10T14:42:18.048Z","48.80"
"2018-08-10T12:58:04.000Z","2018-08-10T14:57:55.338Z","46.74"
"2018-08-10T13:17:53.000Z","2018-08-10T15:17:46.628Z","58.95"
"2018-08-13T15:51:13.000Z","2018-08-13T17:51:03.280Z","47.37"
"2018-08-13T16:10:58.000Z","2018-08-13T18:10:54.657Z","48.14"
"2018-08-13T16:30:49.000Z","2018-08-13T18:30:45.647Z","49.18"
"2018-08-13T16:50:41.000Z","2018-08-13T18:50:36.895Z","48.89"
"2018-08-13T17:10:32.000Z","2018-08-13T19:10:27.963Z","49.48"
"2018-08-13T17:30:23.000Z","2018-08-13T19:30:18.405Z","50.89"
"2018-08-13T17:50:12.000Z","2018-08-13T19:50:08.047Z","53.72"
"2018-08-13T18:10:01.000Z","2018-08-13T20:09:56.964Z","56.05"
"2018-08-13T18:29:49.000Z","2018-08-13T20:29:45.393Z","57.98"
"2018-08-13T18:49:38.000Z","2018-08-13T20:49:33.552Z","59.27"
"2018-08-13T19:09:25.000Z","2018-08-13T21:09:21.608Z","60.53"
"2018-08-13T19:29:13.000Z","2018-08-13T21:29:09.551Z","60.32"
"2018-08-13T19:49:00.000Z","2018-08-13T21:48:56.691Z","62.00"
"2018-08-13T20:08:47.000Z","2018-08-13T22:08:43.172Z","63.88"
"2018-08-13T20:48:19.000Z","2018-08-13T22:48:14.817Z","67.55"
"2018-08-13T21:08:07.000Z","2018-08-13T23:08:00.403Z","67.63"
"2018-08-13T21:27:50.000Z","2018-08-13T23:27:45.970Z","67.64"
"2018-08-13T21:47:35.000Z","2018-08-13T23:47:31.520Z","67.70"
"2018-08-13T22:07:21.000Z","2018-08-14T00:07:16.994Z","68.23"
"2018-08-13T22:27:06.000Z","2018-08-14T00:27:02.411Z","69.18"
"2018-08-13T22:46:52.000Z","2018-08-14T00:46:47.815Z","69.24"
"2018-08-13T23:06:37.000Z","2018-08-14T01:06:33.221Z","69.43"
"2018-08-13T23:26:22.000Z","2018-08-14T01:26:18.536Z","69.94"
"2018-08-13T23:46:08.000Z","2018-08-14T01:46:03.814Z","69.94"
"2018-08-14T00:05:53.000Z","2018-08-14T02:05:49.041Z","70.51"
"2018-08-14T00:25:38.000Z","2018-08-14T02:25:34.225Z","70.83"
"2018-08-14T00:45:23.000Z","2018-08-14T02:45:19.366Z","71.20"
"2018-08-14T01:05:08.000Z","2018-08-14T03:05:04.492Z","71.00"
"2018-08-14T01:24:53.000Z","2018-08-14T03:24:49.572Z","71.55"
"2018-08-14T01:44:39.000Z","2018-08-14T03:44:34.546Z","71.73"
"2018-08-14T02:04:23.000Z","2018-08-14T04:04:19.489Z","71.70"
"2018-08-14T02:24:08.000Z","2018-08-14T04:24:04.444Z","72.00"
"2018-08-14T02:43:53.000Z","2018-08-14T04:43:49.388Z","72.29"
"2018-08-14T03:03:37.000Z","2018-08-14T05:03:34.403Z","72.19"
"2018-08-14T03:23:24.000Z","2018-08-14T05:23:19.406Z","72.08"
"2018-08-14T03:43:08.000Z","2018-08-14T05:43:04.288Z","72.63"
"2018-08-14T04:22:38.000Z","2018-08-14T06:22:33.845Z","73.37"
"2018-08-14T04:42:22.000Z","2018-08-14T06:42:18.567Z","73.51"
"2018-08-14T05:02:07.000Z","2018-08-14T07:02:03.275Z","73.80"
"2018-08-14T05:21:52.000Z","2018-08-14T07:21:47.971Z","74.03"
"2018-08-14T05:41:36.000Z","2018-08-14T07:41:32.732Z","74.15"
"2018-08-14T06:21:06.000Z","2018-08-14T08:21:02.360Z","74.25"
"2018-08-14T06:40:51.000Z","2018-08-14T08:40:47.212Z","74.63"
"2018-08-14T07:00:36.000Z","2018-08-14T09:00:32.192Z","74.19"
"2018-08-14T07:20:27.000Z","2018-08-14T09:20:17.391Z","73.73"
"2018-08-14T07:40:07.000Z","2018-08-14T09:40:02.927Z","72.87"
"2018-08-14T08:19:39.000Z","2018-08-14T10:19:35.034Z","71.42"
"2018-08-14T08:39:26.000Z","2018-08-14T10:39:21.551Z","70.16"
"2018-08-14T08:59:13.000Z","2018-08-14T10:59:08.545Z","68.92"
"2018-08-14T09:19:12.000Z","2018-08-14T11:18:56.142Z","67.19"
"2018-08-14T09:38:49.000Z","2018-08-14T11:38:44.218Z","65.30"
"2018-08-14T09:58:37.000Z","2018-08-14T11:58:32.693Z","63.66"
"2018-08-14T10:18:26.000Z","2018-08-14T12:18:21.328Z","63.38"
"2018-08-14T10:38:15.000Z","2018-08-14T12:38:10.666Z","61.04"
"2018-08-14T10:58:06.000Z","2018-08-14T12:58:00.291Z","59.70"
"2018-08-14T11:17:55.000Z","2018-08-14T13:17:50.463Z","58.11"
"2018-08-14T11:37:45.000Z","2018-08-14T13:37:40.751Z","57.44"
"2018-08-14T11:57:36.000Z","2018-08-14T13:57:31.136Z","56.51"
"2018-08-14T12:17:27.000Z","2018-08-14T14:17:22.176Z","54.93"
"2018-08-14T12:57:10.000Z","2018-08-14T14:57:05.049Z","51.24"
"2018-08-14T13:17:01.000Z","2018-08-14T15:16:56.869Z","50.21"
"2018-08-14T13:36:53.000Z","2018-08-14T15:36:49.059Z","48.76"
"2018-08-14T13:56:45.000Z","2018-08-14T15:56:40.942Z","49.70"
