
"date_received","timestamp","value"
"2018-05-14T15:49:33.000Z","2018-05-14T17:49:28.898Z","10.63"
"2018-05-14T16:10:07.000Z","2018-05-14T18:10:03.952Z","10.63"
"2018-05-14T16:30:42.000Z","2018-05-14T18:30:39.043Z","10.63"
"2018-05-14T17:32:19.000Z","2018-05-14T19:32:16.433Z","10.64"
"2018-05-14T17:52:48.000Z","2018-05-14T19:52:46.189Z","10.65"
"2018-05-17T14:44:34.000Z","2018-05-17T16:44:31.692Z","10.63"
"2018-05-21T12:00:03.000Z","2018-05-21T14:00:00.345Z","10.65"
"2018-05-21T19:10:01.000Z","2018-05-21T21:09:57.846Z","10.65"
"2018-06-09T13:23:54.000Z","2018-06-09T15:23:50.757Z","6.79"
"2018-06-09T13:44:07.000Z","2018-06-09T15:44:03.854Z","6.75"
"2018-06-09T14:04:43.000Z","2018-06-09T16:04:39.600Z","6.89"
"2018-06-09T14:25:23.000Z","2018-06-09T16:25:14.302Z","6.97"
"2018-06-09T14:31:31.000Z","2018-06-09T16:31:28.129Z","6.97"
"2018-06-09T14:32:23.000Z","2018-06-09T16:32:19.829Z","6.94"
"2018-06-09T14:37:39.000Z","2018-06-09T16:37:36.406Z","10.67"
"2018-06-09T14:58:16.000Z","2018-06-09T16:58:11.996Z","10.66"
"2018-06-09T15:18:51.000Z","2018-06-09T17:18:48.369Z","10.66"
"2018-06-09T15:39:27.000Z","2018-06-09T17:39:23.585Z","10.67"
"2018-06-09T16:00:00.000Z","2018-06-09T17:59:56.322Z","10.68"
"2018-06-09T16:20:30.000Z","2018-06-09T18:20:26.973Z","10.68"
"2018-06-09T16:41:00.000Z","2018-06-09T18:40:56.914Z","10.68"
"2018-06-09T17:01:30.000Z","2018-06-09T19:01:26.439Z","10.68"
"2018-06-09T17:21:59.000Z","2018-06-09T19:21:55.608Z","10.67"
"2018-06-09T17:42:27.000Z","2018-06-09T19:42:24.426Z","10.68"
"2018-06-09T18:02:56.000Z","2018-06-09T20:02:52.763Z","10.67"
"2018-06-09T18:23:23.000Z","2018-06-09T20:23:20.507Z","10.67"
"2018-06-09T18:43:51.000Z","2018-06-09T20:43:47.628Z","10.65"
"2018-06-09T19:04:17.000Z","2018-06-09T21:04:13.958Z","10.65"
"2018-06-09T19:24:42.000Z","2018-06-09T21:24:39.228Z","10.65"
"2018-06-09T19:45:06.000Z","2018-06-09T21:45:03.299Z","10.65"
"2018-06-26T12:07:24.000Z","2018-06-26T14:07:19.854Z","6.40"
"2018-06-26T12:09:21.000Z","2018-06-26T14:09:17.570Z","6.82"
"2018-06-26T12:11:32.000Z","2018-06-26T14:11:28.806Z","6.83"
"2018-06-26T12:36:57.000Z","2018-06-26T14:36:54.166Z","6.96"
"2018-06-26T12:37:51.000Z","2018-06-26T14:37:48.246Z","6.95"
"2018-06-26T12:38:39.000Z","2018-06-26T14:38:35.293Z","6.90"
"2018-06-26T12:40:20.000Z","2018-06-26T14:40:16.723Z","7.12"
"2018-06-26T12:42:00.000Z","2018-06-26T14:41:57.398Z","6.89"
"2018-06-26T12:43:33.000Z","2018-06-26T14:43:29.980Z","7.00"
"2018-06-26T12:45:05.000Z","2018-06-26T14:45:02.520Z","6.89"
"2018-06-26T12:46:38.000Z","2018-06-26T14:46:35.077Z","6.79"
"2018-06-26T12:48:11.000Z","2018-06-26T14:48:07.663Z","6.92"
"2018-06-26T12:49:43.000Z","2018-06-26T14:49:40.435Z","6.88"
"2018-06-26T12:51:16.000Z","2018-06-26T14:51:13.285Z","6.97"
"2018-06-26T12:52:49.000Z","2018-06-26T14:52:46.040Z","6.82"
"2018-06-26T12:54:22.000Z","2018-06-26T14:54:18.803Z","6.97"
"2018-06-26T12:55:51.000Z","2018-06-26T14:55:48.259Z","6.93"
"2018-06-26T12:57:23.000Z","2018-06-26T14:57:20.557Z","7.19"
"2018-06-26T12:58:59.000Z","2018-06-26T14:58:53.058Z","7.33"
"2018-06-26T13:00:29.000Z","2018-06-26T15:00:25.703Z","7.35"
"2018-06-26T13:02:02.000Z","2018-06-26T15:01:58.409Z","7.38"
