
"date_received","timestamp","value"
"2018-05-14T15:49:31.000Z","2018-05-14T17:49:28.898Z","30.65"
"2018-05-14T16:10:06.000Z","2018-05-14T18:10:03.952Z","30.72"
"2018-05-14T16:30:42.000Z","2018-05-14T18:30:39.043Z","30.77"
"2018-05-14T17:32:19.000Z","2018-05-14T19:32:16.433Z","30.93"
"2018-05-14T17:52:48.000Z","2018-05-14T19:52:46.189Z","30.96"
"2018-05-17T14:44:34.000Z","2018-05-17T16:44:31.692Z","30.02"
"2018-05-21T12:00:03.000Z","2018-05-21T14:00:00.345Z","29.29"
"2018-05-21T19:10:01.000Z","2018-05-21T21:09:57.846Z","29.49"
"2018-09-20T14:50:14.000Z","2018-09-20T16:50:10.567Z","36.36"
"2018-09-20T15:08:52.000Z","2018-09-20T17:08:48.803Z","35.59"
"2018-09-20T15:09:30.000Z","2018-09-20T17:09:26.066Z","35.52"
"2018-09-20T15:12:13.000Z","2018-09-20T17:12:09.667Z","34.94"
"2018-09-20T15:12:50.000Z","2018-09-20T17:12:46.930Z","34.49"
"2018-09-20T15:14:05.000Z","2018-09-20T17:14:01.438Z","34.05"
"2018-09-20T15:19:00.000Z","2018-09-20T17:18:55.725Z","28.50"
"2018-09-20T15:27:06.000Z","2018-09-20T17:27:02.675Z","27.53"
"2018-09-20T15:32:05.000Z","2018-09-20T17:32:02.063Z","25.53"
"2018-09-20T15:36:23.000Z","2018-09-20T17:36:20.008Z","26.23"
"2018-09-20T15:37:00.000Z","2018-09-20T17:36:57.163Z","26.52"
"2018-09-20T15:37:38.000Z","2018-09-20T17:37:34.315Z","26.66"
"2018-09-20T15:38:15.000Z","2018-09-20T17:38:11.465Z","26.84"
"2018-09-20T15:38:52.000Z","2018-09-20T17:38:48.614Z","27.00"
"2018-09-26T12:03:14.000Z","2018-09-26T14:03:10.742Z","29.89"
"2018-09-26T13:37:12.000Z","2018-09-26T15:37:07.988Z","28.74"
"2018-09-26T13:37:57.000Z","2018-09-26T15:37:54.147Z","28.75"
"2018-09-26T13:39:57.000Z","2018-09-26T15:39:54.229Z","28.77"
"2018-09-26T13:40:43.000Z","2018-09-26T15:40:40.189Z","28.74"
"2018-09-26T13:41:29.000Z","2018-09-26T15:41:26.145Z","28.74"
"2018-09-26T13:42:15.000Z","2018-09-26T15:42:12.102Z","28.74"
"2018-09-26T13:43:01.000Z","2018-09-26T15:42:58.058Z","28.73"
"2018-09-26T13:43:47.000Z","2018-09-26T15:43:44.017Z","28.74"
"2018-09-26T13:44:33.000Z","2018-09-26T15:44:29.977Z","28.74"
"2018-09-26T13:45:19.000Z","2018-09-26T15:45:15.936Z","28.74"
"2018-09-26T13:46:05.000Z","2018-09-26T15:46:01.896Z","28.73"
"2018-09-26T13:46:51.000Z","2018-09-26T15:46:47.859Z","28.72"
"2018-09-26T13:47:36.000Z","2018-09-26T15:47:33.825Z","28.72"
"2018-09-26T13:48:23.000Z","2018-09-26T15:48:19.792Z","28.72"
"2018-09-26T13:49:08.000Z","2018-09-26T15:49:05.761Z","28.73"
"2018-09-26T13:49:55.000Z","2018-09-26T15:49:51.731Z","28.74"
"2018-09-26T13:50:40.000Z","2018-09-26T15:50:37.702Z","28.75"
"2018-09-26T13:51:27.000Z","2018-09-26T15:51:23.673Z","28.77"
"2018-09-26T13:52:13.000Z","2018-09-26T15:52:09.646Z","28.77"
"2018-09-26T13:52:58.000Z","2018-09-26T15:52:55.612Z","28.79"
"2018-09-26T13:53:44.000Z","2018-09-26T15:53:41.575Z","27.65"
"2018-09-26T13:54:07.000Z","2018-09-26T15:54:04.554Z","27.61"
"2018-09-26T13:54:53.000Z","2018-09-26T15:54:50.523Z","27.60"
"2018-09-26T13:55:40.000Z","2018-09-26T15:55:36.491Z","27.60"
"2018-09-26T13:56:44.000Z","2018-09-26T15:56:41.309Z","27.60"
"2018-09-26T14:16:40.000Z","2018-09-26T16:16:36.442Z","27.73"
"2018-09-26T14:36:34.000Z","2018-09-26T16:36:31.003Z","27.89"
"2018-09-26T14:38:07.000Z","2018-09-26T16:38:04.165Z","27.92"
"2018-09-26T14:58:01.000Z","2018-09-26T16:57:57.390Z","28.90"
"2018-09-26T15:10:33.000Z","2018-09-26T17:10:30.132Z","29.39"
"2018-10-07T05:03:09.000Z","2018-10-07T07:03:05.739Z","26.42"
"2018-10-07T05:22:49.000Z","2018-10-07T07:22:46.660Z","26.35"
"2018-10-07T05:42:30.000Z","2018-10-07T07:42:27.579Z","26.30"
"2018-10-07T06:02:11.000Z","2018-10-07T08:02:08.476Z","26.24"
"2018-10-07T06:21:52.000Z","2018-10-07T08:21:49.416Z","26.20"
"2018-10-07T06:41:33.000Z","2018-10-07T08:41:30.402Z","26.17"
"2018-10-07T07:01:14.000Z","2018-10-07T09:01:11.543Z","26.18"
"2018-10-07T07:20:56.000Z","2018-10-07T09:20:52.935Z","26.20"
"2018-10-07T07:40:38.000Z","2018-10-07T09:40:34.800Z","26.26"
"2018-10-07T08:00:20.000Z","2018-10-07T10:00:17.055Z","26.42"
"2018-10-07T08:20:03.000Z","2018-10-07T10:19:59.728Z","26.64"
"2018-10-07T08:39:45.000Z","2018-10-07T10:39:42.520Z","26.87"
"2018-10-07T08:59:30.000Z","2018-10-07T10:59:25.933Z","27.11"
"2018-10-07T09:19:13.000Z","2018-10-07T11:19:09.914Z","27.41"
"2018-10-07T09:38:57.000Z","2018-10-07T11:38:54.591Z","27.60"
"2018-10-07T09:58:43.000Z","2018-10-07T11:58:40.149Z","27.84"
"2018-10-07T10:38:16.000Z","2018-10-07T12:38:12.733Z","28.57"
"2018-10-07T10:58:02.000Z","2018-10-07T12:57:59.255Z","28.80"
"2018-10-07T11:17:48.000Z","2018-10-07T13:17:45.580Z","28.94"
"2018-10-07T11:37:35.000Z","2018-10-07T13:37:32.330Z","29.10"
"2018-10-07T12:36:56.000Z","2018-10-07T14:36:53.233Z","29.57"
"2018-10-07T13:16:34.000Z","2018-10-07T15:16:31.181Z","30.11"
"2018-10-08T15:43:35.000Z","2018-10-08T17:43:31.908Z","29.88"
"2018-10-08T16:03:21.000Z","2018-10-08T18:03:18.393Z","28.89"
"2018-10-08T16:23:05.000Z","2018-10-08T18:23:02.634Z","29.31"
"2018-10-08T16:42:50.000Z","2018-10-08T18:42:47.047Z","29.31"
"2018-10-08T17:22:19.000Z","2018-10-08T19:22:15.981Z","29.33"
"2018-10-08T17:42:03.000Z","2018-10-08T19:42:00.157Z","29.34"
"2018-10-08T18:01:47.000Z","2018-10-08T20:01:44.125Z","29.35"
"2018-10-08T18:21:31.000Z","2018-10-08T20:21:27.888Z","29.36"
"2018-10-08T18:41:14.000Z","2018-10-08T20:41:11.479Z","29.37"
"2018-10-08T19:00:58.000Z","2018-10-08T21:00:54.757Z","29.37"
"2018-10-08T19:20:40.000Z","2018-10-08T21:20:37.650Z","29.36"
"2018-10-08T20:00:05.000Z","2018-10-08T22:00:02.275Z","29.35"
"2018-10-08T20:19:47.000Z","2018-10-08T22:19:44.018Z","29.33"
"2018-10-08T20:59:10.000Z","2018-10-08T22:59:06.786Z","29.31"
"2018-10-08T21:18:51.000Z","2018-10-08T23:18:47.857Z","29.29"
"2018-10-08T21:38:32.000Z","2018-10-08T23:38:28.744Z","29.26"
"2018-10-08T22:17:52.000Z","2018-10-09T00:17:49.646Z","29.22"
"2018-10-08T22:37:33.000Z","2018-10-09T00:37:29.627Z","29.20"
"2018-10-08T22:57:12.000Z","2018-10-09T00:57:09.334Z","29.17"
"2018-10-08T23:16:51.000Z","2018-10-09T01:16:48.679Z","29.15"
"2018-10-08T23:36:30.000Z","2018-10-09T01:36:27.638Z","29.12"
"2018-10-08T23:56:09.000Z","2018-10-09T01:56:06.124Z","29.10"
"2018-10-09T00:15:47.000Z","2018-10-09T02:15:44.022Z","29.07"
"2018-10-09T11:10:39.000Z","2018-10-09T13:10:35.635Z","28.25"
"2018-10-09T11:30:22.000Z","2018-10-09T13:30:19.676Z","28.28"
"2018-10-09T11:50:10.000Z","2018-10-09T13:50:06.828Z","28.32"
"2018-10-09T12:10:00.000Z","2018-10-09T14:09:57.031Z","28.37"
"2018-10-10T11:08:53.000Z","2018-10-10T13:08:50.054Z","28.98"
"2018-10-10T11:28:38.000Z","2018-10-10T13:28:35.784Z","29.02"
"2018-10-10T11:48:28.000Z","2018-10-10T13:48:24.465Z","29.07"
"2018-10-10T12:08:20.000Z","2018-10-10T14:08:16.983Z","29.12"
"2018-10-10T20:47:05.000Z","2018-10-10T22:47:02.186Z","30.21"
"2018-10-10T21:06:49.000Z","2018-10-10T23:06:45.991Z","30.21"
"2018-10-10T21:26:32.000Z","2018-10-10T23:26:29.507Z","30.21"
"2018-10-10T21:46:16.000Z","2018-10-10T23:46:12.678Z","30.21"
"2018-10-10T22:05:58.000Z","2018-10-11T00:05:55.560Z","30.21"
"2018-10-10T22:25:41.000Z","2018-10-11T00:25:38.140Z","30.20"
"2018-10-10T22:45:23.000Z","2018-10-11T00:45:20.385Z","30.20"
"2018-10-10T23:05:05.000Z","2018-10-11T01:05:02.300Z","30.19"
"2018-10-10T23:24:47.000Z","2018-10-11T01:24:43.877Z","30.19"
"2018-10-10T23:44:28.000Z","2018-10-11T01:44:25.146Z","30.18"
"2018-10-11T00:04:10.000Z","2018-10-11T02:04:06.073Z","30.16"
"2018-10-11T00:23:49.000Z","2018-10-11T02:23:46.560Z","30.14"
"2018-10-11T00:43:29.000Z","2018-10-11T02:43:26.582Z","30.12"
"2018-10-11T01:03:09.000Z","2018-10-11T03:03:06.028Z","30.10"
"2018-10-11T01:23:00.000Z","2018-10-11T03:22:57.310Z","30.08"
