
"date_received","timestamp","value"
"2018-07-31T12:49:56.000Z","2018-07-31T14:49:53.069Z","28.01"
"2018-07-31T12:50:21.000Z","2018-07-31T14:50:17.982Z","28.13"
"2018-07-31T12:50:46.000Z","2018-07-31T14:50:42.896Z","28.26"
"2018-07-31T12:51:11.000Z","2018-07-31T14:51:07.820Z","30.85"
"2018-07-31T12:51:36.000Z","2018-07-31T14:51:32.771Z","32.33"
"2018-07-31T12:52:00.000Z","2018-07-31T14:51:57.731Z","32.86"
"2018-07-31T12:52:26.000Z","2018-07-31T14:52:22.690Z","32.89"
"2018-07-31T12:52:50.000Z","2018-07-31T14:52:47.647Z","32.91"
"2018-07-31T12:53:15.000Z","2018-07-31T14:53:12.603Z","33.00"
"2018-07-31T12:53:39.000Z","2018-07-31T14:53:37.560Z","33.08"
"2018-07-31T12:54:05.000Z","2018-07-31T14:54:02.518Z","33.21"
"2018-07-31T12:54:31.000Z","2018-07-31T14:54:27.479Z","33.37"
"2018-07-31T12:54:55.000Z","2018-07-31T14:54:52.440Z","33.58"
"2018-07-31T12:55:20.000Z","2018-07-31T14:55:17.403Z","33.78"
"2018-07-31T12:55:45.000Z","2018-07-31T14:55:42.368Z","34.00"
"2018-07-31T12:56:10.000Z","2018-07-31T14:56:07.334Z","34.22"
"2018-07-31T12:56:35.000Z","2018-07-31T14:56:32.303Z","34.47"
"2018-07-31T12:57:00.000Z","2018-07-31T14:56:57.274Z","34.71"
"2018-07-31T12:57:25.000Z","2018-07-31T14:57:22.248Z","34.92"
"2018-07-31T12:57:50.000Z","2018-07-31T14:57:47.224Z","35.15"
"2018-07-31T12:58:15.000Z","2018-07-31T14:58:12.203Z","35.37"
"2018-07-31T12:58:40.000Z","2018-07-31T14:58:37.183Z","35.56"
"2018-07-31T12:59:05.000Z","2018-07-31T14:59:02.167Z","35.74"
"2018-07-31T12:59:30.000Z","2018-07-31T14:59:27.151Z","35.96"
"2018-07-31T12:59:55.000Z","2018-07-31T14:59:52.136Z","36.14"
"2018-07-31T13:00:20.000Z","2018-07-31T15:00:17.123Z","36.30"
"2018-07-31T13:00:45.000Z","2018-07-31T15:00:42.112Z","36.47"
"2018-07-31T13:01:10.000Z","2018-07-31T15:01:07.103Z","36.64"
"2018-07-31T13:01:35.000Z","2018-07-31T15:01:32.095Z","36.82"
"2018-07-31T13:02:00.000Z","2018-07-31T15:01:57.088Z","36.99"
"2018-07-31T13:02:24.000Z","2018-07-31T15:02:22.083Z","37.11"
"2018-07-31T13:02:50.000Z","2018-07-31T15:02:47.079Z","37.22"
"2018-07-31T13:03:15.000Z","2018-07-31T15:03:12.077Z","37.34"
"2018-07-31T13:03:40.000Z","2018-07-31T15:03:37.075Z","37.47"
"2018-07-31T13:04:05.000Z","2018-07-31T15:04:02.075Z","37.60"
"2018-07-31T13:04:30.000Z","2018-07-31T15:04:27.076Z","37.71"
"2018-07-31T13:04:55.000Z","2018-07-31T15:04:52.080Z","37.85"
"2018-07-31T13:05:20.000Z","2018-07-31T15:05:17.083Z","37.93"
"2018-07-31T13:05:44.000Z","2018-07-31T15:05:42.090Z","38.05"
"2018-07-31T13:06:09.000Z","2018-07-31T15:06:07.095Z","38.18"
"2018-07-31T13:06:35.000Z","2018-07-31T15:06:32.101Z","38.69"
"2018-07-31T13:07:00.000Z","2018-07-31T15:06:57.119Z","39.69"
"2018-07-31T13:07:25.000Z","2018-07-31T15:07:22.150Z","41.17"
"2018-07-31T13:07:50.000Z","2018-07-31T15:07:47.197Z","42.77"
"2018-07-31T13:08:15.000Z","2018-07-31T15:08:12.260Z","43.91"
"2018-07-31T13:08:40.000Z","2018-07-31T15:08:37.333Z","44.60"
"2018-07-31T13:09:05.000Z","2018-07-31T15:09:02.416Z","45.51"
"2018-07-31T13:09:30.000Z","2018-07-31T15:09:27.516Z","46.35"
"2018-07-31T13:09:55.000Z","2018-07-31T15:09:52.630Z","47.35"
"2018-07-31T13:10:21.000Z","2018-07-31T15:10:17.769Z","48.60"
"2018-07-31T13:10:46.000Z","2018-07-31T15:10:42.939Z","49.52"
"2018-07-31T13:11:11.000Z","2018-07-31T15:11:08.138Z","50.12"
"2018-07-31T13:11:36.000Z","2018-07-31T15:11:33.369Z","50.80"
"2018-07-31T13:12:01.000Z","2018-07-31T15:11:58.633Z","51.50"
"2018-07-31T13:12:27.000Z","2018-07-31T15:12:23.938Z","52.14"
"2018-07-31T13:12:52.000Z","2018-07-31T15:12:49.281Z","52.51"
"2018-07-31T13:13:18.000Z","2018-07-31T15:13:14.620Z","52.02"
"2018-07-31T13:13:43.000Z","2018-07-31T15:13:39.885Z","50.27"
"2018-07-31T13:14:08.000Z","2018-07-31T15:14:05.085Z","48.80"
"2018-07-31T13:14:33.000Z","2018-07-31T15:14:30.248Z","47.75"
"2018-07-31T13:14:58.000Z","2018-07-31T15:14:55.382Z","46.92"
"2018-07-31T13:15:24.000Z","2018-07-31T15:15:20.506Z","46.52"
"2018-07-31T13:15:48.000Z","2018-07-31T15:15:45.640Z","47.36"
"2018-07-31T13:16:21.000Z","2018-07-31T15:16:10.794Z","48.35"
"2018-07-31T13:16:39.000Z","2018-07-31T15:16:35.959Z","48.66"
"2018-07-31T13:17:04.000Z","2018-07-31T15:17:01.116Z","47.94"
"2018-07-31T13:17:30.000Z","2018-07-31T15:17:26.248Z","46.94"
"2018-07-31T13:17:54.000Z","2018-07-31T15:17:51.360Z","46.23"
"2018-07-31T13:18:19.000Z","2018-07-31T15:18:16.459Z","45.63"
"2018-07-31T13:18:44.000Z","2018-07-31T15:18:41.545Z","44.98"
"2018-07-31T13:19:10.000Z","2018-07-31T15:19:06.621Z","44.33"
"2018-07-31T13:19:35.000Z","2018-07-31T15:19:31.691Z","43.86"
"2018-07-31T13:19:59.000Z","2018-07-31T15:19:56.752Z","43.26"
"2018-07-31T13:20:24.000Z","2018-07-31T15:20:21.806Z","42.65"
"2018-07-31T13:20:50.000Z","2018-07-31T15:20:46.851Z","41.78"
"2018-07-31T13:21:15.000Z","2018-07-31T15:21:11.886Z","40.81"
"2018-07-31T13:21:40.000Z","2018-07-31T15:21:36.913Z","40.50"
"2018-07-31T13:22:05.000Z","2018-07-31T15:22:01.939Z","40.06"
"2018-07-31T13:22:30.000Z","2018-07-31T15:22:26.956Z","39.34"
"2018-07-31T13:22:55.000Z","2018-07-31T15:22:51.968Z","38.97"
"2018-07-31T13:23:20.000Z","2018-07-31T15:23:16.975Z","38.66"
"2018-07-31T13:23:45.000Z","2018-07-31T15:23:41.980Z","38.37"
"2018-07-31T13:24:10.000Z","2018-07-31T15:24:06.984Z","38.26"
"2018-07-31T13:24:35.000Z","2018-07-31T15:24:31.989Z","38.19"
"2018-07-31T13:25:00.000Z","2018-07-31T15:24:56.993Z","38.22"
"2018-07-31T13:25:25.000Z","2018-07-31T15:25:21.999Z","38.31"
"2018-07-31T13:25:50.000Z","2018-07-31T15:25:47.006Z","38.36"
"2018-07-31T13:26:17.000Z","2018-07-31T15:26:12.015Z","38.78"
"2018-07-31T13:26:40.000Z","2018-07-31T15:26:37.028Z","38.84"
"2018-07-31T13:27:05.000Z","2018-07-31T15:27:02.042Z","39.14"
"2018-07-31T13:27:30.000Z","2018-07-31T15:27:27.060Z","39.55"
"2018-07-31T13:27:55.000Z","2018-07-31T15:27:52.084Z","40.15"
"2018-07-31T13:28:20.000Z","2018-07-31T15:28:17.114Z","40.68"
"2018-07-31T13:28:45.000Z","2018-07-31T15:28:42.151Z","41.19"
"2018-07-31T13:29:10.000Z","2018-07-31T15:29:07.187Z","41.35"
"2018-07-31T13:29:35.000Z","2018-07-31T15:29:32.227Z","41.83"
"2018-07-31T13:30:00.000Z","2018-07-31T15:29:57.270Z","41.76"
"2018-07-31T13:30:25.000Z","2018-07-31T15:30:22.315Z","42.15"
"2018-07-31T13:30:50.000Z","2018-07-31T15:30:47.362Z","42.23"
"2018-07-31T13:31:16.000Z","2018-07-31T15:31:12.411Z","42.23"
"2018-07-31T13:31:40.000Z","2018-07-31T15:31:37.457Z","42.19"
"2018-07-31T13:32:05.000Z","2018-07-31T15:32:02.505Z","42.47"
"2018-07-31T13:32:30.000Z","2018-07-31T15:32:27.560Z","42.58"
"2018-07-31T13:32:55.000Z","2018-07-31T15:32:52.610Z","42.44"
"2018-07-31T13:33:20.000Z","2018-07-31T15:33:17.661Z","42.30"
"2018-07-31T13:33:45.000Z","2018-07-31T15:33:42.709Z","42.36"
"2018-07-31T13:34:10.000Z","2018-07-31T15:34:07.758Z","42.17"
"2018-07-31T13:34:35.000Z","2018-07-31T15:34:32.806Z","42.30"
"2018-07-31T13:35:01.000Z","2018-07-31T15:34:57.853Z","42.21"
"2018-07-31T13:35:26.000Z","2018-07-31T15:35:22.900Z","42.22"
"2018-07-31T13:35:51.000Z","2018-07-31T15:35:47.944Z","42.08"
"2018-07-31T13:36:15.000Z","2018-07-31T15:36:12.990Z","42.14"
"2018-07-31T13:36:41.000Z","2018-07-31T15:36:38.033Z","42.15"
"2018-07-31T13:37:05.000Z","2018-07-31T15:37:03.077Z","41.85"
"2018-07-31T13:37:32.000Z","2018-07-31T15:37:28.118Z","41.77"
"2018-07-31T13:37:56.000Z","2018-07-31T15:37:53.158Z","41.89"
"2018-07-31T13:38:21.000Z","2018-07-31T15:38:18.200Z","41.94"
"2018-07-31T13:38:46.000Z","2018-07-31T15:38:43.243Z","42.01"
"2018-07-31T13:39:11.000Z","2018-07-31T15:39:08.290Z","42.25"
"2018-07-31T13:39:36.000Z","2018-07-31T15:39:33.335Z","42.14"
"2018-07-31T13:40:01.000Z","2018-07-31T15:39:58.386Z","42.78"
"2018-07-31T13:40:26.000Z","2018-07-31T15:40:23.440Z","42.93"
"2018-07-31T13:40:51.000Z","2018-07-31T15:40:48.496Z","43.08"
"2018-07-31T13:41:16.000Z","2018-07-31T15:41:13.551Z","43.00"
"2018-07-31T13:41:42.000Z","2018-07-31T15:41:38.608Z","43.22"
"2018-07-31T13:42:06.000Z","2018-07-31T15:42:03.664Z","43.08"
"2018-07-31T13:42:31.000Z","2018-07-31T15:42:28.722Z","43.23"
"2018-07-31T13:42:58.000Z","2018-07-31T15:42:53.778Z","43.04"
"2018-07-31T13:43:22.000Z","2018-07-31T15:43:18.834Z","42.93"
"2018-07-31T13:43:47.000Z","2018-07-31T15:43:43.891Z","42.81"
"2018-07-31T13:44:12.000Z","2018-07-31T15:44:08.944Z","42.84"
"2018-07-31T13:44:37.000Z","2018-07-31T15:44:33.997Z","42.83"
"2018-07-31T13:45:02.000Z","2018-07-31T15:44:59.049Z","42.67"
"2018-07-31T13:45:27.000Z","2018-07-31T15:45:24.100Z","42.46"
"2018-07-31T13:46:17.000Z","2018-07-31T15:46:14.202Z","42.79"
"2018-07-31T13:46:42.000Z","2018-07-31T15:46:39.263Z","44.20"
"2018-07-31T13:47:07.000Z","2018-07-31T15:47:04.345Z","45.35"
"2018-07-31T13:47:32.000Z","2018-07-31T15:47:29.427Z","45.00"
"2018-07-31T13:47:57.000Z","2018-07-31T15:47:54.509Z","45.22"
"2018-07-31T13:48:22.000Z","2018-07-31T15:48:19.592Z","45.31"
"2018-07-31T13:48:47.000Z","2018-07-31T15:48:44.676Z","45.14"
"2018-07-31T13:49:13.000Z","2018-07-31T15:49:09.761Z","45.42"
"2018-07-31T13:49:38.000Z","2018-07-31T15:49:34.848Z","45.49"
"2018-07-31T13:50:03.000Z","2018-07-31T15:49:59.931Z","45.26"
"2018-07-31T13:50:28.000Z","2018-07-31T15:50:25.013Z","44.82"
"2018-07-31T13:50:53.000Z","2018-07-31T15:50:50.084Z","44.32"
"2018-07-31T13:51:18.000Z","2018-07-31T15:51:15.150Z","43.57"
"2018-07-31T13:51:43.000Z","2018-07-31T15:51:40.208Z","42.99"
"2018-07-31T13:52:08.000Z","2018-07-31T15:52:05.259Z","42.29"
"2018-07-31T13:52:33.000Z","2018-07-31T15:52:30.303Z","41.93"
"2018-07-31T13:52:58.000Z","2018-07-31T15:52:55.345Z","41.45"
"2018-07-31T13:53:23.000Z","2018-07-31T15:53:20.381Z","41.01"
"2018-07-31T13:53:48.000Z","2018-07-31T15:53:45.412Z","40.54"
"2018-07-31T13:54:13.000Z","2018-07-31T15:54:10.439Z","40.21"
"2018-07-31T13:54:38.000Z","2018-07-31T15:54:35.463Z","39.81"
"2018-07-31T13:55:03.000Z","2018-07-31T15:55:00.482Z","39.52"
"2018-07-31T13:55:29.000Z","2018-07-31T15:55:25.500Z","39.24"
"2018-07-31T13:55:53.000Z","2018-07-31T15:55:50.515Z","39.17"
"2018-07-31T13:56:18.000Z","2018-07-31T15:56:15.530Z","39.07"
"2018-07-31T13:56:43.000Z","2018-07-31T15:56:40.541Z","38.85"
"2018-07-31T13:57:08.000Z","2018-07-31T15:57:05.554Z","38.88"
"2018-07-31T13:57:33.000Z","2018-07-31T15:57:30.563Z","38.58"
"2018-07-31T13:57:59.000Z","2018-07-31T15:57:55.568Z","37.99"
"2018-07-31T13:58:23.000Z","2018-07-31T15:58:20.571Z","37.88"
"2018-07-31T13:58:49.000Z","2018-07-31T15:58:45.573Z","37.77"
"2018-07-31T13:59:13.000Z","2018-07-31T15:59:10.573Z","37.51"
"2018-07-31T13:59:38.000Z","2018-07-31T15:59:35.571Z","37.41"
