
"date_received","timestamp","value"
"2018-11-07T13:52:55.000Z","2018-11-07T14:52:47.766Z","4.11"
"2018-11-07T14:25:57.000Z","2018-11-07T15:25:49.853Z","4.11"
"2018-11-07T14:57:29.000Z","2018-11-07T15:57:21.264Z","4.11"
"2018-11-07T15:26:56.000Z","2018-11-07T16:26:48.118Z","4.11"
"2018-11-07T16:06:18.000Z","2018-11-07T17:06:11.234Z","4.11"
"2018-11-07T16:17:14.000Z","2018-11-07T17:17:06.740Z","4.11"
"2018-11-07T16:27:02.000Z","2018-11-07T17:26:54.130Z","4.11"
"2018-11-07T16:37:15.000Z","2018-11-07T17:37:08.136Z","4.11"
"2018-11-07T16:48:25.000Z","2018-11-07T17:48:17.186Z","4.10"
"2018-11-07T17:08:10.000Z","2018-11-07T18:08:02.983Z","4.08"
"2018-11-08T11:50:18.000Z","2018-11-08T12:50:09.223Z","4.09"
"2018-11-08T12:52:00.000Z","2018-11-08T13:51:52.699Z","4.12"
"2018-11-08T13:01:12.000Z","2018-11-08T14:01:04.677Z","4.12"
"2018-11-08T13:10:55.000Z","2018-11-08T14:10:48.337Z","4.12"
"2018-11-08T14:29:57.000Z","2018-11-08T15:29:49.853Z","4.11"
"2018-11-08T15:31:34.000Z","2018-11-08T16:31:26.745Z","4.11"
"2018-11-09T17:40:55.000Z","2018-11-09T14:27:14.811Z","4.11"
"2018-11-09T17:42:01.000Z","2018-11-09T15:08:19.861Z","4.11"
"2018-11-09T17:42:34.000Z","2018-11-09T15:27:57.657Z","4.11"
"2018-11-09T17:42:48.000Z","2018-11-09T15:37:51.342Z","4.11"
"2018-11-09T17:43:07.000Z","2018-11-09T15:57:22.032Z","4.11"
"2018-11-09T17:43:22.000Z","2018-11-09T16:07:15.173Z","4.11"
"2018-11-09T17:43:42.000Z","2018-11-09T16:17:11.441Z","4.11"
"2018-11-09T17:44:01.000Z","2018-11-09T16:26:51.226Z","4.11"
"2018-11-09T17:44:14.000Z","2018-11-09T16:37:56.528Z","4.11"
"2018-11-09T17:44:35.000Z","2018-11-09T16:47:34.811Z","4.11"
"2018-11-09T17:44:56.000Z","2018-11-09T16:57:39.280Z","4.11"
"2018-11-09T17:45:15.000Z","2018-11-09T17:07:24.284Z","4.11"
"2018-11-09T17:45:29.000Z","2018-11-09T17:19:06.404Z","4.10"
"2018-11-09T17:45:36.000Z","2018-11-09T17:29:07.097Z","4.10"
"2018-11-09T17:46:04.000Z","2018-11-09T17:57:38.010Z","4.11"
"2018-11-09T17:46:23.000Z","2018-11-09T18:14:43.532Z","4.10"
"2018-11-09T17:46:37.000Z","2018-11-09T18:26:17.519Z","4.09"
"2018-11-09T17:46:51.000Z","2018-11-09T18:43:05.446Z","4.07"
"2018-11-09T18:01:59.000Z","2018-11-09T19:01:51.943Z","4.06"
"2018-11-09T18:50:35.000Z","2018-11-09T19:50:27.765Z","4.05"
"2018-11-10T11:57:27.000Z","2018-11-10T12:56:20.077Z","3.97"
"2018-11-10T12:07:17.000Z","2018-11-10T13:06:08.204Z","3.97"
"2018-11-10T12:17:06.000Z","2018-11-10T13:15:58.551Z","3.96"
"2018-11-10T12:27:35.000Z","2018-11-10T13:26:27.842Z","3.96"
"2018-11-10T12:36:48.000Z","2018-11-10T13:35:41.169Z","3.96"
"2018-11-10T12:46:42.000Z","2018-11-10T13:45:33.183Z","3.96"
"2018-11-10T13:06:20.000Z","2018-11-10T14:05:12.205Z","3.96"
"2018-11-10T13:16:13.000Z","2018-11-10T14:15:04.479Z","3.95"
"2018-11-10T13:25:59.000Z","2018-11-10T14:24:51.855Z","3.95"
"2018-11-10T13:35:48.000Z","2018-11-10T14:34:40.712Z","3.95"
"2018-11-10T13:45:36.000Z","2018-11-10T14:44:29.133Z","3.95"
"2018-11-10T14:15:42.000Z","2018-11-10T15:13:57.196Z","3.94"
"2018-11-10T14:24:51.000Z","2018-11-10T15:23:44.633Z","3.94"
"2018-11-10T14:34:40.000Z","2018-11-10T15:33:32.392Z","3.94"
"2018-11-10T14:54:16.000Z","2018-11-10T15:53:08.315Z","3.92"
"2018-11-10T15:13:52.000Z","2018-11-10T16:12:44.380Z","3.93"
"2018-11-10T15:23:40.000Z","2018-11-10T16:22:33.117Z","3.93"
"2018-11-10T15:33:29.000Z","2018-11-10T16:32:21.865Z","3.93"
"2018-11-10T15:43:18.000Z","2018-11-10T16:42:10.842Z","3.92"
"2018-11-10T15:53:07.000Z","2018-11-10T16:51:59.827Z","3.92"
"2018-11-10T16:03:54.000Z","2018-11-10T17:01:48.753Z","3.92"
"2018-11-10T16:12:45.000Z","2018-11-10T17:11:37.873Z","3.92"
"2018-11-10T16:22:34.000Z","2018-11-10T17:21:27.180Z","3.92"
"2018-11-10T16:32:24.000Z","2018-11-10T17:31:16.944Z","3.91"
"2018-11-10T16:42:20.000Z","2018-11-10T17:41:11.483Z","3.91"
"2018-11-10T16:52:44.000Z","2018-11-10T17:51:05.883Z","3.91"
"2018-11-10T17:02:12.000Z","2018-11-10T18:01:03.974Z","3.91"
"2018-11-10T17:12:11.000Z","2018-11-10T18:11:04.348Z","3.91"
"2018-11-10T17:22:21.000Z","2018-11-10T18:21:12.021Z","3.90"
"2018-11-10T17:32:15.000Z","2018-11-10T18:31:07.851Z","3.90"
"2018-11-11T12:29:57.000Z","2018-11-11T13:28:48.055Z","3.84"
"2018-11-11T12:48:57.000Z","2018-11-11T13:47:49.590Z","3.77"
"2018-11-11T13:08:25.000Z","2018-11-11T14:07:17.255Z","3.77"
"2018-11-11T13:28:04.000Z","2018-11-11T14:26:57.195Z","3.76"
"2018-11-11T13:37:50.000Z","2018-11-11T14:36:42.562Z","3.76"
"2018-11-11T13:47:38.000Z","2018-11-11T14:46:30.271Z","3.76"
"2018-11-11T13:57:25.000Z","2018-11-11T14:56:17.644Z","3.76"
"2018-11-11T14:07:14.000Z","2018-11-11T15:06:06.698Z","3.76"
"2018-11-11T14:36:42.000Z","2018-11-11T15:35:34.445Z","3.76"
"2018-11-11T14:46:26.000Z","2018-11-11T15:45:18.512Z","3.75"
"2018-11-11T14:56:18.000Z","2018-11-11T15:55:10.393Z","3.75"
"2018-11-11T15:06:10.000Z","2018-11-11T16:05:02.422Z","3.75"
"2018-11-11T15:25:49.000Z","2018-11-11T16:24:42.152Z","3.75"
"2018-11-11T15:36:32.000Z","2018-11-11T16:34:34.191Z","3.75"
"2018-11-11T15:45:27.000Z","2018-11-11T16:44:20.352Z","3.75"
"2018-11-11T16:05:14.000Z","2018-11-11T17:04:05.538Z","3.75"
"2018-11-11T16:15:07.000Z","2018-11-11T17:13:59.619Z","3.74"
"2018-11-11T16:25:07.000Z","2018-11-11T17:23:58.793Z","3.74"
"2018-11-11T16:35:12.000Z","2018-11-11T17:34:04.782Z","3.74"
"2018-11-11T16:45:07.000Z","2018-11-11T17:43:59.984Z","3.74"
"2018-11-11T16:59:50.000Z","2018-11-11T17:58:43.140Z","3.74"
"2018-11-12T11:17:27.000Z","2018-11-12T12:16:19.284Z","3.73"
"2018-11-12T11:32:25.000Z","2018-11-12T12:31:14.342Z","3.68"
"2018-11-12T11:42:23.000Z","2018-11-12T12:41:15.901Z","3.67"
"2018-11-12T11:52:11.000Z","2018-11-12T12:51:04.244Z","3.67"
"2018-11-12T12:02:01.000Z","2018-11-12T13:00:52.795Z","3.67"
"2018-11-12T12:11:56.000Z","2018-11-12T13:10:46.650Z","3.67"
"2018-11-12T12:21:42.000Z","2018-11-12T13:20:33.342Z","3.67"
"2018-11-12T12:31:33.000Z","2018-11-12T13:30:25.011Z","3.67"
"2018-11-12T12:42:02.000Z","2018-11-12T13:40:17.168Z","3.67"
"2018-11-12T12:51:11.000Z","2018-11-12T13:50:03.228Z","3.67"
"2018-11-12T13:00:59.000Z","2018-11-12T13:59:51.572Z","3.67"
"2018-11-12T13:10:48.000Z","2018-11-12T14:09:40.030Z","3.67"
"2018-11-12T13:20:38.000Z","2018-11-12T14:19:31.129Z","3.67"
"2018-11-12T13:30:29.000Z","2018-11-12T14:29:21.003Z","3.67"
"2018-11-12T13:40:19.000Z","2018-11-12T14:39:11.408Z","3.67"
"2018-11-12T14:01:01.000Z","2018-11-12T14:58:49.163Z","3.67"
"2018-11-12T14:20:25.000Z","2018-11-12T15:18:26.877Z","3.67"
"2018-11-12T14:29:24.000Z","2018-11-12T15:28:16.378Z","3.67"
"2018-11-12T14:39:12.000Z","2018-11-12T15:38:05.308Z","3.66"
"2018-11-12T15:08:49.000Z","2018-11-12T16:07:35.952Z","3.76"
"2018-11-12T15:18:24.000Z","2018-11-12T16:17:15.956Z","4.00"
"2018-11-12T15:28:20.000Z","2018-11-12T16:27:10.941Z","3.93"
"2018-11-12T16:02:44.000Z","2018-11-12T17:01:37.153Z","3.81"
"2018-11-12T16:12:35.000Z","2018-11-12T17:11:27.660Z","3.74"
"2018-11-12T16:22:34.000Z","2018-11-12T17:21:28.005Z","3.70"
