
"date_received","timestamp","value"
"2018-11-07T13:52:52.000Z","2018-11-07T14:52:47.766Z","-1.00"
"2018-11-07T14:25:54.000Z","2018-11-07T15:25:49.853Z","-1.00"
"2018-11-07T14:57:26.000Z","2018-11-07T15:57:21.264Z","-1.00"
"2018-11-07T15:07:17.000Z","2018-11-07T16:07:13.012Z","-1.00"
"2018-11-07T15:26:53.000Z","2018-11-07T16:26:48.118Z","-1.00"
"2018-11-07T16:06:15.000Z","2018-11-07T17:06:11.234Z","-1.00"
"2018-11-07T16:17:11.000Z","2018-11-07T17:17:06.740Z","-1.00"
"2018-11-07T16:26:58.000Z","2018-11-07T17:26:54.130Z","-1.00"
"2018-11-07T16:37:12.000Z","2018-11-07T17:37:08.136Z","-1.00"
"2018-11-07T16:48:22.000Z","2018-11-07T17:48:17.186Z","-1.00"
"2018-11-07T17:08:07.000Z","2018-11-07T18:08:02.983Z","-1.00"
"2018-11-08T11:50:15.000Z","2018-11-08T12:50:09.223Z","-1,00"
"2018-11-08T12:51:57.000Z","2018-11-08T13:51:52.699Z","-1.00"
"2018-11-08T13:01:09.000Z","2018-11-08T14:01:04.677Z","-1.00"
"2018-11-08T13:10:52.000Z","2018-11-08T14:10:48.337Z","-1.00"
"2018-11-08T14:29:54.000Z","2018-11-08T15:29:49.853Z","-1.00"
"2018-11-08T15:31:31.000Z","2018-11-08T16:31:26.745Z","-1.00"
"2018-11-09T13:17:39.000Z","2018-11-09T14:17:34.457Z","-1.00"
"2018-11-09T17:40:52.000Z","2018-11-09T14:27:14.811Z","-1.00"
"2018-11-09T17:41:58.000Z","2018-11-09T15:08:19.861Z","-1.00"
"2018-11-09T17:42:31.000Z","2018-11-09T15:27:57.657Z","-1.00"
"2018-11-09T17:42:45.000Z","2018-11-09T15:37:51.342Z","-1.00"
"2018-11-09T17:43:04.000Z","2018-11-09T15:57:22.032Z","-1.00"
"2018-11-09T17:43:19.000Z","2018-11-09T16:07:15.173Z","-1.00"
