
"date_received","timestamp","value"
"2018-11-07T13:52:54.000Z","2018-11-07T14:52:47.766Z","0.00"
"2018-11-07T14:25:56.000Z","2018-11-07T15:25:49.853Z","0.00"
"2018-11-07T14:57:28.000Z","2018-11-07T15:57:21.264Z","0.00"
"2018-11-07T15:26:55.000Z","2018-11-07T16:26:48.118Z","0.00"
"2018-11-07T16:06:18.000Z","2018-11-07T17:06:11.234Z","0.00"
"2018-11-07T16:17:13.000Z","2018-11-07T17:17:06.740Z","0.00"
"2018-11-07T16:27:01.000Z","2018-11-07T17:26:54.130Z","0.00"
"2018-11-07T16:37:14.000Z","2018-11-07T17:37:08.136Z","0.00"
"2018-11-07T16:48:24.000Z","2018-11-07T17:48:17.186Z","0.00"
"2018-11-07T17:08:09.000Z","2018-11-07T18:08:02.983Z","0.00"
"2018-11-08T11:50:18.000Z","2018-11-08T12:50:09.223Z","0.00"
"2018-11-08T12:52:00.000Z","2018-11-08T13:51:52.699Z","0.00"
"2018-11-08T13:01:11.000Z","2018-11-08T14:01:04.677Z","0.00"
"2018-11-08T13:10:55.000Z","2018-11-08T14:10:48.337Z","0.00"
"2018-11-08T14:29:56.000Z","2018-11-08T15:29:49.853Z","0.00"
"2018-11-08T15:31:34.000Z","2018-11-08T16:31:26.745Z","0.00"
"2018-11-09T17:40:54.000Z","2018-11-09T14:27:14.811Z","0.00"
"2018-11-09T17:42:00.000Z","2018-11-09T15:08:19.861Z","0.00"
"2018-11-09T17:42:33.000Z","2018-11-09T15:27:57.657Z","0.00"
"2018-11-09T17:42:47.000Z","2018-11-09T15:37:51.342Z","0.00"
"2018-11-09T17:43:07.000Z","2018-11-09T15:57:22.032Z","0.00"
"2018-11-09T17:43:21.000Z","2018-11-09T16:07:15.173Z","0.00"
"2018-11-09T17:43:41.000Z","2018-11-09T16:17:11.441Z","0.00"
"2018-11-09T17:44:01.000Z","2018-11-09T16:26:51.226Z","0.00"
"2018-11-09T17:44:14.000Z","2018-11-09T16:37:56.528Z","0.00"
"2018-11-09T17:44:34.000Z","2018-11-09T16:47:34.811Z","0.00"
"2018-11-09T17:44:55.000Z","2018-11-09T16:57:39.280Z","0.00"
"2018-11-09T17:45:14.000Z","2018-11-09T17:07:24.284Z","0.00"
"2018-11-09T17:45:28.000Z","2018-11-09T17:19:06.404Z","0.00"
"2018-11-09T17:45:35.000Z","2018-11-09T17:29:07.097Z","0.00"
"2018-11-09T17:46:02.000Z","2018-11-09T17:57:38.010Z","0.00"
"2018-11-09T17:46:23.000Z","2018-11-09T18:14:43.532Z","0.00"
"2018-11-09T17:46:37.000Z","2018-11-09T18:26:17.519Z","0.00"
"2018-11-09T17:46:50.000Z","2018-11-09T18:43:05.446Z","0.00"
"2018-11-09T18:01:58.000Z","2018-11-09T19:01:51.943Z","0.00"
"2018-11-09T18:50:35.000Z","2018-11-09T19:50:27.765Z","0.00"
"2018-11-10T11:57:27.000Z","2018-11-10T12:56:20.077Z","0.00"
"2018-11-10T12:07:17.000Z","2018-11-10T13:06:08.204Z","0.00"
"2018-11-10T12:17:05.000Z","2018-11-10T13:15:58.551Z","0.00"
"2018-11-10T12:27:34.000Z","2018-11-10T13:26:27.842Z","0.00"
"2018-11-10T12:36:48.000Z","2018-11-10T13:35:41.169Z","0.00"
"2018-11-10T12:46:41.000Z","2018-11-10T13:45:33.183Z","0.00"
"2018-11-10T13:06:19.000Z","2018-11-10T14:05:12.205Z","0.00"
"2018-11-10T13:16:12.000Z","2018-11-10T14:15:04.479Z","0.00"
"2018-11-10T13:25:59.000Z","2018-11-10T14:24:51.855Z","0.00"
"2018-11-10T13:35:47.000Z","2018-11-10T14:34:40.712Z","0.00"
"2018-11-10T13:45:35.000Z","2018-11-10T14:44:29.133Z","0.00"
"2018-11-10T14:15:41.000Z","2018-11-10T15:13:57.196Z","0.00"
"2018-11-10T14:24:51.000Z","2018-11-10T15:23:44.633Z","0.00"
"2018-11-10T14:34:39.000Z","2018-11-10T15:33:32.392Z","0.00"
"2018-11-10T14:54:15.000Z","2018-11-10T15:53:08.315Z","0.00"
"2018-11-10T15:13:51.000Z","2018-11-10T16:12:44.380Z","0.00"
"2018-11-10T15:23:40.000Z","2018-11-10T16:22:33.117Z","0.00"
