
"date_received","timestamp","value"
"2018-11-07T13:52:51.000Z","2018-11-07T14:52:47.766Z","nan"
"2018-11-07T14:25:53.000Z","2018-11-07T15:25:49.853Z","nan"
"2018-11-07T14:57:24.000Z","2018-11-07T15:57:21.264Z","nan"
"2018-11-07T15:07:16.000Z","2018-11-07T16:07:13.012Z","nan"
"2018-11-07T15:26:52.000Z","2018-11-07T16:26:48.118Z","nan"
"2018-11-07T16:06:14.000Z","2018-11-07T17:06:11.234Z","nan"
"2018-11-07T16:17:10.000Z","2018-11-07T17:17:06.740Z","nan"
"2018-11-07T16:26:57.000Z","2018-11-07T17:26:54.130Z","nan"
"2018-11-07T16:37:11.000Z","2018-11-07T17:37:08.136Z","nan"
"2018-11-07T16:48:21.000Z","2018-11-07T17:48:17.186Z","nan"
"2018-11-07T17:08:06.000Z","2018-11-07T18:08:02.983Z","nan"
"2018-11-08T11:50:13.000Z","2018-11-08T12:50:09.223Z","nan"
"2018-11-08T12:51:56.000Z","2018-11-08T13:51:52.699Z","nan"
"2018-11-08T13:01:08.000Z","2018-11-08T14:01:04.677Z","nan"
"2018-11-08T13:10:51.000Z","2018-11-08T14:10:48.337Z","nan"
"2018-11-08T14:29:53.000Z","2018-11-08T15:29:49.853Z","nan"
"2018-11-08T15:31:30.000Z","2018-11-08T16:31:26.745Z","nan"
"2018-11-09T13:17:38.000Z","2018-11-09T14:17:34.457Z","nan"
"2018-11-09T17:40:51.000Z","2018-11-09T14:27:14.811Z","nan"
"2018-11-09T17:41:57.000Z","2018-11-09T15:08:19.861Z","nan"
"2018-11-09T17:42:29.000Z","2018-11-09T15:27:57.657Z","nan"
"2018-11-09T17:42:44.000Z","2018-11-09T15:37:51.342Z","nan"
"2018-11-09T17:43:03.000Z","2018-11-09T15:57:22.032Z","nan"
"2018-11-09T17:43:18.000Z","2018-11-09T16:07:15.173Z","nan"
"2018-11-09T17:43:37.000Z","2018-11-09T16:17:11.441Z","nan"
"2018-11-09T17:43:57.000Z","2018-11-09T16:26:51.226Z","nan"
"2018-11-09T17:44:10.000Z","2018-11-09T16:37:56.528Z","nan"
"2018-11-09T17:44:31.000Z","2018-11-09T16:47:34.811Z","nan"
