"date_received","timestamp","value"
"2019-01-31T11:37:19.000Z","2019-01-31T11:37:03.000Z",100
"2019-02-02T12:21:55.000Z","2019-02-02T12:21:50.000Z",64
"2019-02-02T12:22:33.000Z","2019-02-02T12:22:28.000Z",64
"2019-02-02T12:21:55.000Z","2019-02-02T13:21:50.523Z",64
"2019-02-02T12:22:33.000Z","2019-02-02T13:22:28.430Z",64
"2019-02-11T09:18:47.000Z","2019-02-11T09:18:42.000Z",79
"2019-02-11T09:21:38.000Z","2019-02-11T09:21:32.000Z",79
"2019-02-11T09:23:38.000Z","2019-02-11T09:23:32.000Z",79
"2019-02-11T09:24:16.000Z","2019-02-11T09:24:06.000Z",79
"2019-02-21T16:12:16.000Z","2019-02-21T16:12:11.000Z",3
"2019-02-21T16:13:37.000Z","2019-02-21T16:13:33.000Z",3
"2019-02-21T16:16:28.000Z","2019-02-21T16:16:24.000Z",72
"2019-02-21T19:49:37.000Z","2019-02-21T19:49:31.000Z",15
"2019-02-21T23:03:02.000Z","2019-02-21T23:02:57.000Z",15
"2019-02-22T02:16:13.000Z","2019-02-22T02:16:08.000Z",14
"2019-02-22T05:29:23.000Z","2019-02-22T05:29:18.000Z",13
"2019-02-22T08:42:30.000Z","2019-02-22T08:42:25.000Z",12
"2019-02-22T11:56:52.000Z","2019-02-22T11:56:46.000Z",10
"2019-02-22T21:41:51.000Z","2019-02-22T21:41:46.000Z",55
"2019-02-23T00:55:13.000Z","2019-02-23T00:55:08.000Z",56
"2019-02-23T04:08:44.000Z","2019-02-23T04:08:39.000Z",56
"2019-02-23T07:22:08.000Z","2019-02-23T07:22:03.000Z",56
"2019-02-23T10:35:46.000Z","2019-02-23T10:35:42.000Z",53
"2019-02-23T13:50:45.000Z","2019-02-23T13:50:40.000Z",49
"2019-02-23T17:06:07.000Z","2019-02-23T17:06:03.000Z",48
"2019-02-23T20:20:53.000Z","2019-02-23T20:20:49.000Z",49
"2019-02-23T23:34:55.000Z","2019-02-23T23:34:50.000Z",48
"2019-02-24T02:48:39.000Z","2019-02-24T02:48:35.000Z",48
"2019-02-24T06:02:02.000Z","2019-02-24T06:01:58.000Z",48
"2019-02-24T09:15:17.000Z","2019-02-24T09:15:13.000Z",46
"2019-02-24T15:44:35.000Z","2019-02-24T15:44:30.000Z",42
"2019-02-24T18:59:25.000Z","2019-02-24T18:59:21.000Z",43
"2019-02-25T01:27:04.000Z","2019-02-25T01:26:59.000Z",42
"2019-02-25T04:40:15.000Z","2019-02-25T04:40:11.000Z",42
"2019-02-25T07:53:26.000Z","2019-02-25T07:53:21.000Z",41
"2019-02-25T11:07:18.000Z","2019-02-25T11:07:13.000Z",39
